x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.0585,0.2721,-0.0461,0.0000e+00,-2.2744e-08,4.6038e-09,2.9419
-0.0585,0.2743,-0.0308,0.0000e+00,-2.2748e-08,4.5803e-09,2.9429
-0.0585,0.2756,-0.0154,0.0000e+00,-2.2952e-08,3.4172e-09,2.9938
-0.0585,0.2760,0.0000,0.0000e+00,-2.3142e-08,1.7108e-09,3.0678
-0.0585,0.2756,0.0154,0.0000e+00,-2.3201e-08,3.9288e-10,3.1247
-0.0585,0.2743,0.0308,0.0000e+00,-2.3204e-08,-1.1654e-10,3.1466
-0.0585,0.2721,0.0461,0.0000e+00,-2.3187e-08,9.0028e-10,3.1028
-0.0585,0.2587,0.0961,0.0000e+00,-1.9201e-08,1.3031e-08,2.5453
-0.0585,0.2529,0.1104,0.0000e+00,-1.0450e-08,2.0718e-08,2.0380
-0.0585,0.2464,0.1244,0.0000e+00,1.6941e-08,1.5857e-08,0.7524
-0.0585,0.2390,0.1380,0.0000e+00,2.2942e-08,3.4830e-09,0.1507
-0.0585,0.2309,0.1512,0.0000e+00,2.3201e-08,4.0063e-10,0.0173
-0.0585,0.2221,0.1638,0.0000e+00,2.3204e-08,2.0530e-10,0.0088
-0.0585,0.2126,0.1760,0.0000e+00,2.3199e-08,5.3184e-10,0.0229
-0.0585,0.1760,0.2126,0.0000e+00,2.3203e-08,2.4698e-10,0.0106
-0.0585,0.1638,0.2221,0.0000e+00,2.3204e-08,2.1716e-10,0.0094
-0.0585,0.1512,0.2309,0.0000e+00,2.3205e-08,3.9192e-11,0.0017
-0.0585,0.1380,0.2390,0.0000e+00,2.3205e-08,4.0199e-11,0.0017
-0.0585,0.1244,0.2464,0.0000e+00,2.3204e-08,1.5616e-10,0.0067
-0.0585,0.1104,0.2529,0.0000e+00,-8.1260e-09,-2.1735e-08,4.3546
-0.0585,0.0961,0.2587,0.0000e+00,-8.5990e-09,-2.1553e-08,4.3328
-0.0585,0.0461,0.2721,0.0000e+00,-2.2923e-09,-2.3091e-08,4.6134
-0.0585,0.0308,0.2743,0.0000e+00,-1.1454e-08,-2.0181e-08,4.1962
-0.0585,0.0154,0.2756,0.0000e+00,2.3111e-08,2.0833e-09,0.0899
