x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.0585,0.2721,-0.0461,0.0000e+00,-8.2497e-09,-2.1689e-08,4.3489
-0.0585,0.2743,-0.0308,0.0000e+00,-5.5174e-09,-2.2539e-08,4.4723
-0.0585,0.2756,-0.0154,0.0000e+00,-4.8043e-09,-2.2702e-08,4.5038
-0.0585,0.2760,0.0000,0.0000e+00,-5.4245e-09,-2.2562e-08,4.4764
-0.0585,0.2756,0.0154,0.0000e+00,-6.8043e-09,-2.2185e-08,4.4148
-0.0585,0.2743,0.0308,0.0000e+00,-8.4019e-09,-2.1630e-08,4.3419
-0.0585,0.2721,0.0461,0.0000e+00,2.3205e-08,5.1659e-13,0.0000
-0.0585,0.2587,0.0961,0.0000e+00,2.3205e-08,2.2959e-15,0.0000
-0.0585,0.2529,0.1104,0.0000e+00,-7.2923e-09,-2.2029e-08,4.3927
-0.0585,0.2464,0.1244,0.0000e+00,-4.8737e-09,-2.2687e-08,4.5008
-0.0585,0.2390,0.1380,0.0000e+00,2.3205e-08,1.5852e-12,0.0001
-0.0585,0.2309,0.1512,0.0000e+00,-3.2273e-09,-2.2979e-08,4.5729
-0.0585,0.2221,0.1638,0.0000e+00,2.4709e-09,2.3073e-08,1.4641
-0.0585,0.2126,0.1760,0.0000e+00,-2.9363e-09,2.3018e-08,1.6977
-0.0585,0.1760,0.2126,0.0000e+00,-1.3114e-08,1.9144e-08,2.1714
-0.0585,0.1638,0.2221,0.0000e+00,-1.5434e-08,1.7328e-08,2.2985
-0.0585,0.1512,0.2309,0.0000e+00,-1.7449e-08,1.5297e-08,2.4218
-0.0585,0.1380,0.2390,0.0000e+00,-1.9145e-08,1.3112e-08,2.5411
-0.0585,0.1244,0.2464,0.0000e+00,-2.0532e-08,1.0812e-08,2.6569
-0.0585,0.1104,0.2529,0.0000e+00,-2.1621e-08,8.4271e-09,2.7699
-0.0585,0.0961,0.2587,0.0000e+00,-2.2418e-08,5.9903e-09,2.8805
-0.0585,0.0461,0.2721,0.0000e+00,-2.3049e-08,-2.6848e-09,3.2576
-0.0585,0.0308,0.2743,0.0000e+00,-2.2478e-08,-5.7639e-09,3.3926
-0.0585,0.0154,0.2756,0.0000e+00,-2.0794e-08,-1.0299e-08,3.6015
-0.0585,0.0000,0.2760,0.0000e+00,6.3735e-09,2.2312e-08,1.2926
-0.0585,-0.0154,0.2756,0.0000e+00,2.0279e-08,1.1280e-08,0.5076
-0.0585,-0.0308,0.2743,0.0000e+00,1.9246e-08,1.2963e-08,0.5927
-0.0585,-0.0461,0.2721,0.0000e+00,1.6468e-08,1.6348e-08,0.7817
-0.0585,-0.0961,0.2587,0.0000e+00,2.3007e-08,3.0230e-09,0.1306
-0.0585,-0.1104,0.2529,0.0000e+00,2.3203e-08,3.0408e-10,0.0131
-0.0585,-0.1244,0.2464,0.0000e+00,2.3205e-08,1.7799e-12,0.0001
-0.0585,-0.1380,0.2390,0.0000e+00,1.8942e-08,-1.3404e-08,5.6673
-0.0585,-0.1512,0.2309,0.0000e+00,1.9986e-08,1.1790e-08,0.5330
-0.0585,-0.1638,0.2221,0.0000e+00,1.2387e-08,1.9622e-08,1.0077
-0.0585,-0.1760,0.2126,0.0000e+00,6.8278e-09,2.2178e-08,1.2721
