x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.0585,0.2721,-0.0461,0.0000e+00,-2.2999e-08,-3.0844e-09,3.2749
-0.0585,0.2743,-0.0308,0.0000e+00,-2.3176e-08,-1.1554e-09,3.1914
-0.0585,0.2756,-0.0154,0.0000e+00,-2.3197e-08,6.0324e-10,3.1156
-0.0585,0.2760,0.0000,0.0000e+00,-2.3097e-08,2.2387e-09,3.0450
-0.0585,0.2756,0.0154,0.0000e+00,-2.2891e-08,3.8007e-09,2.9771
-0.0585,0.2743,0.0308,0.0000e+00,-2.2601e-08,5.2602e-09,2.9129
-0.0585,0.2721,0.0461,0.0000e+00,-2.2231e-08,6.6524e-09,2.8508
-0.0585,0.2587,0.0961,0.0000e+00,-2.0220e-08,1.1385e-08,2.6288
-0.0585,0.2529,0.1104,0.0000e+00,-1.9138e-08,1.3123e-08,2.5405
-0.0585,0.2464,0.1244,0.0000e+00,-1.5082e-08,1.7635e-08,2.2783
-0.0585,0.2390,0.1380,0.0000e+00,2.3205e-08,8.5098e-11,0.0037
-0.0585,0.2309,0.1512,0.0000e+00,2.3205e-08,7.9173e-14,0.0000
-0.0585,0.2221,0.1638,0.0000e+00,2.3205e-08,1.2607e-14,0.0000
-0.0585,0.2126,0.1760,0.0000e+00,2.3205e-08,6.8849e-17,0.0000
-0.0585,0.1760,0.2126,0.0000e+00,2.3205e-08,4.5665e-22,0.0000
-0.0585,0.1638,0.2221,0.0000e+00,2.3205e-08,3.1882e-22,0.0000
-0.0585,0.1512,0.2309,0.0000e+00,2.3205e-08,3.2343e-22,0.0000
-0.0585,0.1380,0.2390,0.0000e+00,2.3205e-08,1.5544e-21,0.0000
-0.0585,0.1244,0.2464,0.0000e+00,2.3205e-08,2.5371e-23,0.0000
-0.0585,0.1104,0.2529,0.0000e+00,-8.1744e-09,-2.1717e-08,4.3524
-0.0585,0.0961,0.2587,0.0000e+00,-8.8690e-09,-2.1443e-08,4.3202
-0.0585,0.0461,0.2721,0.0000e+00,-8.8502e-09,-2.1451e-08,4.3211
-0.0585,0.0308,0.2743,0.0000e+00,-8.4876e-09,-2.1597e-08,4.3379
-0.0585,0.0154,0.2756,0.0000e+00,2.3205e-08,2.0492e-16,0.0000
-0.0585,0.0000,0.2760,0.0000e+00,2.3205e-08,4.9806e-17,0.0000
-0.0585,-0.0154,0.2756,0.0000e+00,2.3205e-08,2.4720e-14,0.0000
-0.0585,-0.0308,0.2743,0.0000e+00,2.3205e-08,9.4336e-14,0.0000
-0.0585,-0.0461,0.2721,0.0000e+00,2.3205e-08,4.8421e-13,0.0000
-0.0585,-0.0961,0.2587,0.0000e+00,2.1174e-08,9.4941e-09,0.4215
-0.0585,-0.1104,0.2529,0.0000e+00,1.3907e-08,1.8576e-08,0.9281
-0.0585,-0.1244,0.2464,0.0000e+00,1.6605e-08,1.6210e-08,0.7734
-0.0585,-0.1380,0.2390,0.0000e+00,2.3205e-08,-3.0556e-16,6.2832
-0.0585,-0.1512,0.2309,0.0000e+00,2.0600e-08,1.0683e-08,0.4784
-0.0585,-0.1638,0.2221,0.0000e+00,2.1975e-08,7.4547e-09,0.3271
-0.0585,-0.1760,0.2126,0.0000e+00,2.2854e-08,4.0177e-09,0.1740
-0.0585,-0.2126,0.1760,0.0000e+00,2.1972e-08,-7.4638e-09,5.9557
-0.0585,-0.2221,0.1638,0.0000e+00,2.0684e-08,-1.0519e-08,5.8127
-0.0585,-0.2309,0.1512,0.0000e+00,1.9014e-08,-1.3301e-08,5.6728
-0.0585,-0.2390,0.1380,0.0000e+00,2.3205e-08,1.8587e-32,0.0000
-0.0585,-0.2464,0.1244,0.0000e+00,2.3205e-08,2.7801e-34,0.0000
-0.0585,-0.2529,0.1104,0.0000e+00,1.2091e-08,-1.9806e-08,5.2605
-0.0585,-0.2587,0.0961,0.0000e+00,9.1578e-09,-2.1321e-08,5.1181
-0.0585,-0.2721,0.0461,0.0000e+00,-4.4982e-09,-2.2765e-08,4.5173
-0.0585,-0.2743,0.0308,0.0000e+00,-1.0716e-08,-2.0582e-08,4.2324
-0.0585,-0.2756,0.0154,0.0000e+00,-1.8084e-08,-1.4541e-08,3.8188
-0.0585,-0.2760,0.0000,0.0000e+00,-2.3105e-08,-2.1447e-09,3.2342
-0.0585,-0.2756,-0.0154,0.0000e+00,-2.0191e-08,1.1436e-08,2.6263
-0.0585,-0.2743,-0.0308,0.0000e+00,-1.3295e-08,1.9019e-08,2.1809
-0.0585,-0.2721,-0.0461,0.0000e+00,-7.0018e-09,2.2123e-08,1.8773
-0.0585,-0.2587,-0.0961,0.0000e+00,7.1212e-09,2.2085e-08,1.2589
-0.0585,-0.2529,-0.1104,0.0000e+00,1.0208e-08,2.0839e-08,1.1153
