# COSI2 B0 scan,,,,,,
# time 2024-07-24 14:30:00.910611,,,,,,
# MAGNET CENTER IN LAB: x 210.500 mm, y 190.450 mm, z 179.960 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240724/ball_magnet_V3_R130_10pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
223.5,242.45,62.96,-38.98,-3.02,1.82,39.141
210.5,242.45,62.96,-38.818,-2.68,0.78,38.933
197.5,242.45,62.96,-38.876,-2.29,-0.57,38.92
171.5,229.45,62.96,-39.676,-1.86,-1.84,39.762
184.5,229.45,62.96,-41.132,-1.58,-2.17,41.219
197.5,229.45,62.96,-40.26,-2.13,-0.98,40.328
210.5,229.45,62.96,-39.947,-2.6,0.09,40.032
223.5,229.45,62.96,-40.016,-3.07,1.03,40.147
236.5,229.45,62.96,-40.393,-3.6,1.94,40.599
249.5,229.45,62.96,-41.055,-4.25,2.78,41.368
249.5,216.45,62.96,-41.709,-4.11,1.76,41.948
236.5,216.45,62.96,-41.391,-3.65,1.25,41.57
223.5,216.45,62.96,-40.919,-3.21,0.77,41.052
210.5,216.45,62.96,-40.676,-2.8,0.21,40.773
197.5,216.45,62.96,-40.727,-2.46,-0.38,40.777
184.5,216.45,62.96,-41.097,-2.14,-0.96,41.106
171.5,216.45,62.96,-41.712,-1.88,-1.44,41.687
158.5,203.45,62.96,-42.478,-1.82,-1.54,42.545
171.5,203.45,62.96,-42.509,-1.94,-1.21,42.571
184.5,203.45,62.96,-41.819,-2.18,-0.82,41.884
197.5,203.45,62.96,-41.336,-2.45,-0.43,41.411
210.5,203.45,62.96,-41.116,-2.73,-0.06,41.211
223.5,203.45,62.96,-41.177,-3.04,0.28,41.26
236.5,203.45,62.96,-41.49,-3.35,0.55,41.576
249.5,203.45,62.96,-41.947,-3.7,0.8,42.117
262.5,203.45,62.96,-42.625,-4.03,1.04,42.828
262.5,190.45,62.96,-43.016,-4.11,0.39,43.213
249.5,190.45,62.96,-42.529,-3.82,0.11,42.7
236.5,190.45,62.96,-41.901,-3.48,0.06,42.045
223.5,190.45,62.96,-41.504,-3.16,0,41.624
210.5,190.45,62.96,-41.344,-2.82,-0.11,41.452
197.5,190.45,62.96,-41.434,-2.52,-0.23,41.487
184.5,190.45,62.96,-41.777,-2.25,-0.37,41.783
171.5,190.45,62.96,-42.281,-1.96,-0.52,42.329
158.5,190.45,62.96,-43.081,-1.66,-0.7,43.119
158.5,177.45,62.96,-43.466,-1.51,-0.01,43.492
171.5,177.45,62.96,-42.851,-1.78,0.12,42.888
184.5,177.45,62.96,-42.106,-2.09,0.02,42.158
197.5,177.45,62.96,-41.587,-2.4,-0.1,41.656
210.5,177.45,62.96,-41.352,-2.72,-0.21,41.442
223.5,177.45,62.96,-41.36,-3.06,-0.33,41.46
236.5,177.45,62.96,-41.599,-3.36,-0.49,41.701
249.5,177.45,62.96,-41.994,-3.68,-0.64,42.16
262.5,177.45,62.96,-42.674,-3.99,-0.85,42.868
249.5,164.45,62.96,-42.408,-3.87,-1.2,42.601
236.5,164.45,62.96,-41.561,-3.58,-1.07,41.728
223.5,164.45,62.96,-41.204,-3.22,-0.74,41.335
210.5,164.45,62.96,-41.066,-2.83,-0.37,41.165
197.5,164.45,62.96,-41.184,-2.48,-0.02,41.234
184.5,164.45,62.96,-41.595,-2.14,0.27,41.585
171.5,164.45,62.96,-42.256,-1.81,0.58,42.205
171.5,151.45,62.96,-42.28,-1.49,1.08,42.351
184.5,151.45,62.96,-41.562,-1.79,0.92,41.708
197.5,151.45,62.96,-40.929,-2.2,0.37,41.049
210.5,151.45,62.96,-40.629,-2.67,-0.26,40.717
223.5,151.45,62.96,-40.584,-3.16,-0.88,40.716
236.5,151.45,62.96,-40.814,-3.68,-1.49,41.007
249.5,151.45,62.96,-41.312,-4.21,-2.02,41.575
223.5,138.45,62.96,-40.78,-3.96,-2.08,41.025
210.5,138.45,62.96,-39.732,-3.12,-1.13,39.87
197.5,138.45,62.96,-39.859,-2.36,0.24,39.93
249.5,125.45,75.96,-38.815,-4.04,-5.25,39.376
236.5,125.45,75.96,-38.345,-3.68,-3.97,38.725
223.5,125.45,75.96,-37.934,-3.18,-2.43,38.196
210.5,125.45,75.96,-37.84,-2.63,-1.08,37.948
197.5,125.45,75.96,-38.071,-2.15,0.42,38.09
184.5,125.45,75.96,-38.533,-1.62,1.88,38.613
171.5,125.45,75.96,-39.362,-1.06,3.3,39.514
158.5,138.45,75.96,-40.933,-0.76,3.71,41.108
171.5,138.45,75.96,-41.209,-1.07,2.8,41.318
184.5,138.45,75.96,-40.298,-1.58,1.76,40.368
197.5,138.45,75.96,-39.652,-2.05,0.72,39.712
210.5,138.45,75.96,-39.289,-2.52,-0.36,39.394
223.5,138.45,75.96,-39.242,-3.01,-1.34,39.367
236.5,138.45,75.96,-39.504,-3.45,-2.45,39.678
249.5,138.45,75.96,-39.949,-3.94,-3.6,40.305
262.5,138.45,75.96,-40.819,-4.43,-4.7,41.327
275.5,151.45,75.96,-42.334,-4.77,-4.05,42.795
262.5,151.45,75.96,-42.307,-4.41,-3.21,42.657
249.5,151.45,75.96,-41.323,-3.97,-2.67,41.713
236.5,151.45,75.96,-40.643,-3.55,-1.96,40.918
223.5,151.45,75.96,-40.255,-3.16,-1.32,40.436
210.5,151.45,75.96,-40.139,-2.73,-0.59,40.236
197.5,151.45,75.96,-40.277,-2.32,0.14,40.344
184.5,151.45,75.96,-40.699,-1.9,0.85,40.752
171.5,151.45,75.96,-41.409,-1.49,1.5,41.463
158.5,151.45,75.96,-42.387,-1.05,2.07,42.45
145.5,151.45,75.96,-43.586,-0.61,2.5,43.662
145.5,164.45,75.96,-44.033,-0.97,1.48,44.061
158.5,164.45,75.96,-43.293,-1.27,1.15,43.454
171.5,164.45,75.96,-42.333,-1.58,0.9,42.475
184.5,164.45,75.96,-41.634,-1.89,0.55,41.68
197.5,164.45,75.96,-41.064,-2.24,0.18,41.126
210.5,164.45,75.96,-40.768,-2.58,-0.24,40.85
223.5,164.45,75.96,-40.732,-2.94,-0.67,40.843
236.5,164.45,75.96,-40.971,-3.31,-1.1,41.119
249.5,164.45,75.96,-41.462,-3.66,-1.49,41.65
262.5,164.45,75.96,-42.196,-3.98,-1.83,42.318
275.5,164.45,75.96,-43.131,-4.24,-2.06,43.262
275.5,177.45,75.96,-43.546,-4.16,-1.28,43.762
262.5,177.45,75.96,-43.001,-3.97,-0.9,43.194
249.5,177.45,75.96,-42.162,-3.68,-0.73,42.329
