x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,1.5910e-08,1.6892e-08,0.8153
-0.1755,0.2743,-0.0308,0.0000e+00,5.3921e-09,2.2570e-08,1.3363
-0.1755,0.2756,-0.0154,0.0000e+00,-2.9657e-09,2.3014e-08,1.6990
-0.1755,0.2760,0.0000,0.0000e+00,-9.7329e-09,2.1065e-08,2.0036
-0.1755,0.2756,0.0154,0.0000e+00,-1.1626e-08,2.0082e-08,2.0956
-0.1755,0.2743,0.0308,0.0000e+00,-1.3956e-08,1.8539e-08,2.2161
-0.1755,0.2721,0.0461,0.0000e+00,-1.3703e-08,1.8727e-08,2.2025
-0.1755,0.2587,0.0961,0.0000e+00,-1.2112e-08,1.9793e-08,2.1199
-0.1755,0.2529,0.1104,0.0000e+00,-1.0629e-08,2.0627e-08,2.0466
-0.1755,0.2464,0.1244,0.0000e+00,-1.0123e-08,2.0880e-08,2.0222
-0.1755,0.2390,0.1380,0.0000e+00,-1.0311e-08,2.0788e-08,2.0312
-0.1755,0.2309,0.1512,0.0000e+00,-1.0513e-08,2.0687e-08,2.0410
-0.1755,0.2221,0.1638,0.0000e+00,-1.1531e-08,2.0137e-08,2.0908
-0.1755,0.2126,0.1760,0.0000e+00,-1.3163e-08,1.9110e-08,2.1740
-0.1755,0.1760,0.2126,0.0000e+00,-1.9301e-08,1.2881e-08,2.5531
-0.1755,0.1638,0.2221,0.0000e+00,-2.0697e-08,1.0493e-08,2.6724
-0.1755,0.1512,0.2309,0.0000e+00,-2.1735e-08,8.1261e-09,2.7838
-0.1755,0.1380,0.2390,0.0000e+00,-2.2430e-08,5.9459e-09,2.8825
-0.1755,0.1244,0.2464,0.0000e+00,-2.2860e-08,3.9874e-09,2.9689
-0.1755,0.1104,0.2529,0.0000e+00,-2.3037e-08,2.7832e-09,3.0214
-0.1755,0.0961,0.2587,0.0000e+00,-2.3119e-08,1.9961e-09,3.0555
-0.1755,0.0461,0.2721,0.0000e+00,-2.3167e-08,1.3192e-09,3.0847
-0.1755,0.0308,0.2743,0.0000e+00,-2.3184e-08,9.7541e-10,3.0995
-0.1755,0.0154,0.2756,0.0000e+00,-2.3192e-08,7.6177e-10,3.1088
-0.1755,0.0000,0.2760,0.0000e+00,-2.3198e-08,5.4540e-10,3.1181
-0.1755,-0.0154,0.2756,0.0000e+00,-2.3203e-08,2.6415e-10,3.1302
-0.1755,-0.0308,0.2743,0.0000e+00,-1.9472e-08,1.2622e-08,2.5665
-0.1755,-0.0461,0.2721,0.0000e+00,-1.1676e-08,2.0053e-08,2.0981
-0.1755,-0.0961,0.2587,0.0000e+00,-1.0748e-08,2.0566e-08,2.0524
-0.1755,-0.1104,0.2529,0.0000e+00,-9.7747e-10,2.3184e-08,1.6129
-0.1755,-0.1244,0.2464,0.0000e+00,2.2319e-08,6.3517e-09,0.2773
-0.1755,-0.1380,0.2390,0.0000e+00,2.3205e-08,7.8865e-15,0.0000
-0.1755,-0.1512,0.2309,0.0000e+00,1.9458e-08,1.2644e-08,0.5762
-0.1755,-0.1638,0.2221,0.0000e+00,1.1370e-08,2.0228e-08,1.0587
-0.1755,-0.1760,0.2126,0.0000e+00,-4.5218e-09,2.2760e-08,1.7669
-0.1755,-0.2126,0.1760,0.0000e+00,-4.1287e-09,2.2835e-08,1.7497
-0.1755,-0.2221,0.1638,0.0000e+00,5.4647e-10,2.3198e-08,1.5472
-0.1755,-0.2309,0.1512,0.0000e+00,4.8717e-09,2.2688e-08,1.3593
-0.1755,-0.2390,0.1380,0.0000e+00,2.1666e-08,8.3105e-09,0.3663
-0.1755,-0.2464,0.1244,0.0000e+00,2.1466e-08,8.8121e-09,0.3895
-0.1755,-0.2529,0.1104,0.0000e+00,1.2965e-08,1.9245e-08,0.9780
-0.1755,-0.2587,0.0961,0.0000e+00,2.2107e-08,7.0513e-09,0.3088
