x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,1.0817
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.6691
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0258
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,0.0000
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,3.3090
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,3.1944
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,3.0768
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,2.9562
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,2.8334
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,2.7098
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,2.4286
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,2.6799
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,3.6651
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,4.0910
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,4.0946
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,3.9972
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,3.8700
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,3.4300
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,3.3094
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,3.1945
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,3.0845
0.0000,0.0000,0.0000,0.0000e+00,0.0000e+00,0.0000e+00,2.9787
