x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,1.5505e-08,1.7264e-08,0.7318
-0.1755,0.2743,-0.0308,0.0000e+00,5.8313e-10,2.3197e-08,0.0251
-0.1755,0.2756,-0.0154,0.0000e+00,1.5088e-16,2.3205e-08,0.0000
-0.1755,0.2760,0.0000,0.0000e+00,3.1038e-21,2.3205e-08,0.0000
-0.1755,0.2756,0.0154,0.0000e+00,6.4432e-25,2.3205e-08,0.0000
-0.1755,0.2743,0.0308,0.0000e+00,8.4214e-28,2.3205e-08,0.0000
-0.1755,0.2721,0.0461,0.0000e+00,6.4789e-30,2.3205e-08,0.0000
-0.1755,0.2587,0.0961,0.0000e+00,5.3801e-32,2.3205e-08,0.0000
-0.1755,0.2529,0.1104,0.0000e+00,2.5760e-31,2.3205e-08,0.0000
-0.1755,0.2464,0.1244,0.0000e+00,3.8966e-30,2.3205e-08,0.0000
-0.1755,0.2390,0.1380,0.0000e+00,1.5930e-28,2.3205e-08,0.0000
-0.1755,0.2309,0.1512,0.0000e+00,1.5159e-26,2.3205e-08,0.0000
-0.1755,0.2221,0.1638,0.0000e+00,2.7436e-24,2.3205e-08,0.0000
-0.1755,0.2126,0.1760,0.0000e+00,7.7919e-22,2.3205e-08,0.0000
-0.1755,0.1760,0.2126,0.0000e+00,-3.9935e-09,-2.2859e-08,3.3146
-0.1755,0.1638,0.2221,0.0000e+00,-1.3933e-09,-2.3163e-08,3.2017
-0.1755,0.1512,0.2309,0.0000e+00,1.3310e-09,-2.3167e-08,3.0842
-0.1755,0.1380,0.2390,0.0000e+00,4.1570e-09,-2.2829e-08,2.9615
-0.1755,0.1244,0.2464,0.0000e+00,7.0545e-09,-2.2106e-08,2.8327
-0.1755,0.1104,0.2529,0.0000e+00,9.9782e-09,-2.0950e-08,2.6971
-0.1755,0.0961,0.2587,0.0000e+00,1.2859e-08,-1.9316e-08,2.5543
-0.1755,0.0461,0.2721,0.0000e+00,2.0774e-08,-1.0339e-08,2.0326
-0.1755,0.0308,0.2743,0.0000e+00,2.1871e-08,-7.7544e-09,1.9115
-0.1755,0.0154,0.2756,0.0000e+00,3.3979e-09,-2.2955e-08,2.9946
-0.1755,0.0000,0.2760,0.0000e+00,-2.1960e-08,-7.4980e-09,4.3834
-0.1755,-0.0154,0.2756,0.0000e+00,-2.0936e-08,-1.0008e-08,4.2665
-0.1755,-0.0308,0.2743,0.0000e+00,-1.9120e-08,-1.3149e-08,4.1099
-0.1755,-0.0461,0.2721,0.0000e+00,-1.6816e-08,-1.5990e-08,3.9521
-0.1755,-0.0961,0.2587,0.0000e+00,-7.8006e-09,-2.1854e-08,3.4844
-0.1755,-0.1104,0.2529,0.0000e+00,-5.1017e-09,-2.2637e-08,3.3633
-0.1755,-0.1244,0.2464,0.0000e+00,-2.4716e-09,-2.3073e-08,3.2483
-0.1755,-0.1380,0.2390,0.0000e+00,6.7496e-11,-2.3205e-08,3.1387
-0.1755,-0.1512,0.2309,0.0000e+00,2.5019e-09,-2.3070e-08,3.0336
-0.1755,-0.1638,0.2221,0.0000e+00,4.8373e-09,-2.2695e-08,2.9316
-0.1755,-0.1760,0.2126,0.0000e+00,7.0631e-09,-2.2104e-08,2.8323
-0.1755,-0.2126,0.1760,0.0000e+00,1.3661e-08,-1.8758e-08,2.5121
-0.1755,-0.2221,0.1638,0.0000e+00,1.5353e-08,-1.7400e-08,2.4186
-0.1755,-0.2309,0.1512,0.0000e+00,1.6907e-08,-1.5894e-08,2.3253
-0.1755,-0.2390,0.1380,0.0000e+00,1.8322e-08,-1.4240e-08,2.2315
-0.1755,-0.2464,0.1244,0.0000e+00,1.9591e-08,-1.2435e-08,2.1364
-0.1755,-0.2529,0.1104,0.0000e+00,2.0710e-08,-1.0468e-08,2.0388
-0.1755,-0.2587,0.0961,0.0000e+00,2.1666e-08,-8.3091e-09,1.9370
-0.1755,-0.2721,0.0461,0.0000e+00,2.3165e-08,1.3504e-09,1.5126
-0.1755,-0.2743,0.0308,0.0000e+00,2.2455e-08,5.8507e-09,1.3159
-0.1755,-0.2756,0.0154,0.0000e+00,1.9780e-08,1.2133e-08,1.0206
-0.1755,-0.2760,0.0000,0.0000e+00,1.1325e-08,2.0253e-08,0.5099
-0.1755,-0.2756,-0.0154,0.0000e+00,6.4121e-11,2.3205e-08,0.0028
-0.1755,-0.2743,-0.0308,0.0000e+00,8.1839e-15,2.3205e-08,0.0000
-0.1755,-0.2721,-0.0461,0.0000e+00,1.0291e-18,2.3205e-08,0.0000
-0.1755,-0.2587,-0.0961,0.0000e+00,5.4066e-30,2.3205e-08,0.0000
-0.1755,-0.2529,-0.1104,0.0000e+00,1.9461e-32,2.3205e-08,0.0000
-0.1755,-0.2464,-0.1244,0.0000e+00,1.8522e-34,2.3205e-08,0.0000
-0.1755,-0.2390,-0.1380,0.0000e+00,1.4272e-42,2.3205e-08,0.0000
-0.1755,-0.2309,-0.1512,0.0000e+00,1.0581e-43,2.3205e-08,0.0000
-0.1755,-0.2221,-0.1638,0.0000e+00,3.9834e-42,2.3205e-08,0.0000
-0.1755,-0.2126,-0.1760,0.0000e+00,2.8618e-41,2.3205e-08,0.0000
-0.1755,-0.1760,-0.2126,0.0000e+00,-8.2758e-09,-2.1679e-08,3.5063
-0.1755,-0.1638,-0.2221,0.0000e+00,-5.3942e-09,-2.2569e-08,3.3762
-0.1755,-0.1512,-0.2309,0.0000e+00,-2.2568e-09,-2.3095e-08,3.2390
-0.1755,-0.1380,-0.2390,0.0000e+00,1.1217e-09,-2.3178e-08,3.0932
-0.1755,-0.1244,-0.2464,0.0000e+00,4.6951e-09,-2.2725e-08,2.9379
-0.1755,-0.1104,-0.2529,0.0000e+00,8.3887e-09,-2.1635e-08,2.7717
-0.1755,-0.0961,-0.2587,0.0000e+00,1.2081e-08,-1.9812e-08,2.5940
-0.1755,-0.0461,-0.2721,0.0000e+00,2.1822e-08,-7.8917e-09,1.9178
-0.1755,-0.0308,-0.2743,0.0000e+00,-2.1343e-08,-9.1077e-09,4.3091
-0.1755,-0.0154,-0.2756,0.0000e+00,7.1545e-15,2.3205e-08,0.0000
-0.1755,-0.0000,-0.2760,0.0000e+00,1.8875e-19,2.3205e-08,0.0000
-0.1755,0.0154,-0.2756,0.0000e+00,6.6261e-30,2.3205e-08,0.0000
-0.1755,0.0308,-0.2743,0.0000e+00,1.9746e-32,2.3205e-08,0.0000
-0.1755,0.0461,-0.2721,0.0000e+00,7.3192e-34,2.3205e-08,0.0000
-0.1755,0.0961,-0.2587,0.0000e+00,-5.4500e-09,-2.2556e-08,3.3787
-0.1755,0.1104,-0.2529,0.0000e+00,-2.3838e-09,-2.3082e-08,3.2445
-0.1755,0.1244,-0.2464,0.0000e+00,5.8520e-10,-2.3197e-08,3.1164
-0.1755,0.1380,-0.2390,0.0000e+00,3.4242e-09,-2.2951e-08,2.9935
-0.1755,0.1512,-0.2309,0.0000e+00,6.1133e-09,-2.2385e-08,2.8750
-0.1755,0.1638,-0.2221,0.0000e+00,8.6358e-09,-2.1538e-08,2.7603
-0.1755,0.1760,-0.2126,0.0000e+00,1.0981e-08,-2.0442e-08,2.6487
-0.1755,0.2126,-0.1760,0.0000e+00,1.7434e-08,-1.5314e-08,2.2916
-0.1755,0.2221,-0.1638,0.0000e+00,1.8927e-08,-1.3426e-08,2.1878
-0.1755,0.2309,-0.1512,0.0000e+00,2.0216e-08,-1.1392e-08,2.0839
-0.1755,0.2390,-0.1380,0.0000e+00,2.1300e-08,-9.2083e-09,1.9789
-0.1755,0.2464,-0.1244,0.0000e+00,2.2170e-08,-6.8517e-09,1.8705
-0.1755,0.2529,-0.1104,0.0000e+00,2.2810e-08,-4.2612e-09,1.7555
-0.1755,0.2587,-0.0961,0.0000e+00,2.3167e-08,-1.3241e-09,1.6279
-0.0585,0.2721,-0.0461,0.0000e+00,1.7252e-08,1.5518e-08,0.8383
-0.0585,0.2743,-0.0308,0.0000e+00,1.5547e-08,1.7227e-08,0.7342
-0.0585,0.2756,-0.0154,0.0000e+00,1.3328e-08,1.8996e-08,0.6118
-0.0585,0.2760,0.0000,0.0000e+00,1.0428e-08,2.0730e-08,0.4661
-0.0585,0.2756,0.0154,0.0000e+00,6.5872e-09,2.2250e-08,0.2878
-0.0585,0.2743,0.0308,0.0000e+00,2.1066e-09,2.3109e-08,0.0909
-0.0585,0.2721,0.0461,0.0000e+00,1.8347e-10,2.3204e-08,0.0079
-0.0585,0.2587,0.0961,0.0000e+00,1.7805e-14,2.3205e-08,0.0000
-0.0585,0.2529,0.1104,0.0000e+00,2.3997e-14,2.3205e-08,0.0000
-0.0585,0.2464,0.1244,0.0000e+00,3.3063e-13,2.3205e-08,0.0000
-0.0585,0.2390,0.1380,0.0000e+00,8.1427e-12,2.3205e-08,0.0004
-0.0585,0.2309,0.1512,0.0000e+00,1.8909e-09,-2.3128e-08,3.0600
-0.0585,0.2221,0.1638,0.0000e+00,1.4820e-08,-1.7855e-08,2.4488
-0.0585,0.2126,0.1760,0.0000e+00,2.1155e-08,-9.5362e-09,1.9943
