x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.0585,0.2721,-0.0461,0.0000e+00,-6.7852e-09,5.1118e-08,1.7028
-0.0585,0.2743,-0.0308,0.0000e+00,-7.5156e-09,5.1016e-08,1.7171
-0.0585,0.2756,-0.0154,0.0000e+00,-6.8371e-09,5.1111e-08,1.7038
-0.0585,0.2760,0.0000,0.0000e+00,-4.9550e-09,5.1328e-08,1.6670
-0.0585,0.2756,0.0154,0.0000e+00,-2.3725e-09,5.1512e-08,1.6168
-0.0585,0.2743,0.0308,0.0000e+00,-3.2958e-10,5.1565e-08,1.5772
-0.0585,0.2721,0.0461,0.0000e+00,-7.5945e-11,5.1566e-08,1.5723
-0.0585,0.2587,0.0961,0.0000e+00,-1.8964e-08,4.7953e-08,1.9474
-0.0585,0.2529,0.1104,0.0000e+00,-3.3187e-08,3.9468e-08,2.2700
-0.0585,0.2464,0.1244,0.0000e+00,-5.0379e-08,1.1002e-08,2.9266
-0.0585,0.2390,0.1380,0.0000e+00,-3.5223e-08,-3.7662e-08,3.9604
-0.0585,0.2309,0.1512,0.0000e+00,-5.6370e-09,-5.1257e-08,4.6029
-0.0585,0.2221,0.1638,0.0000e+00,5.1566e-08,5.3339e-14,0.0000
-0.0585,0.2126,0.1760,0.0000e+00,5.1566e-08,4.1438e-17,0.0000
-0.0585,0.1760,0.2126,0.0000e+00,5.1566e-08,1.2359e-13,0.0000
-0.0585,0.1638,0.2221,0.0000e+00,4.9981e-08,-1.2686e-08,6.0346
-0.0585,0.1512,0.2309,0.0000e+00,5.1342e-08,-4.8069e-09,6.1898
-0.0585,0.1380,0.2390,0.0000e+00,5.1566e-08,-1.2306e-13,6.2832
-0.0585,0.1244,0.2464,0.0000e+00,5.0792e-08,8.9021e-09,0.1735
-0.0585,0.1104,0.2529,0.0000e+00,5.1566e-08,-2.2876e-11,6.2827
-0.0585,0.0961,0.2587,0.0000e+00,5.1566e-08,-3.7180e-12,6.2831
-0.0585,0.0461,0.2721,0.0000e+00,-4.5374e-08,2.4501e-08,2.6465
-0.0585,0.0308,0.2743,0.0000e+00,3.4560e-08,3.8271e-08,0.8363
-0.0585,0.0154,0.2756,0.0000e+00,-5.9055e-09,5.1227e-08,1.6856
-0.0585,0.0000,0.2760,0.0000e+00,-1.9977e-08,4.7539e-08,1.9686
-0.0585,-0.0154,0.2756,0.0000e+00,-2.5513e-08,4.4812e-08,2.0884
-0.0585,-0.0308,0.2743,0.0000e+00,-2.9818e-08,4.2071e-08,2.1874
-0.0585,-0.0461,0.2721,0.0000e+00,-3.3711e-08,3.9021e-08,2.2833
-0.0585,-0.0961,0.2587,0.0000e+00,-4.4896e-08,2.5366e-08,2.6273
-0.0585,-0.1104,0.2529,0.0000e+00,-4.7541e-08,1.9973e-08,2.7439
-0.0585,-0.1244,0.2464,0.0000e+00,-4.9686e-08,1.3796e-08,2.8708
-0.0585,-0.1380,0.2390,0.0000e+00,-5.1119e-08,6.7791e-09,3.0097
-0.0585,-0.1512,0.2309,0.0000e+00,-5.1554e-08,-1.1149e-09,3.1632
-0.0585,-0.1638,0.2221,0.0000e+00,-5.0614e-08,-9.8654e-09,3.3341
-0.0585,-0.1760,0.2126,0.0000e+00,-4.7794e-08,-1.9360e-08,3.5265
-0.0585,-0.2126,0.1760,0.0000e+00,-1.4634e-08,-4.9446e-08,4.4246
-0.0585,-0.2221,0.1638,0.0000e+00,5.1566e-08,4.5093e-16,0.0000
-0.0585,-0.2309,0.1512,0.0000e+00,2.7055e-08,-4.3899e-08,5.2647
-0.0585,-0.2390,0.1380,0.0000e+00,4.4282e-08,-2.6422e-08,5.7452
-0.0585,-0.2464,0.1244,0.0000e+00,5.1387e-08,-4.2990e-09,6.1997
-0.0585,-0.2529,0.1104,0.0000e+00,5.1566e-08,-1.1924e-12,6.2832
-0.0585,-0.2587,0.0961,0.0000e+00,5.1566e-08,-9.2499e-16,6.2832
-0.0585,-0.2721,0.0461,0.0000e+00,5.1566e-08,-5.1643e-22,6.2832
-0.0585,-0.2743,0.0308,0.0000e+00,5.1566e-08,-2.8743e-22,6.2832
-0.0585,-0.2756,0.0154,0.0000e+00,5.1566e-08,-5.1643e-22,6.2832
-0.0585,-0.2760,0.0000,0.0000e+00,-2.2902e-08,4.6201e-08,2.0310
