x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,7.2216e-09,2.2052e-08,1.2543
-0.1755,0.2743,-0.0308,0.0000e+00,-7.4146e-09,2.1988e-08,1.8960
-0.1755,0.2756,-0.0154,0.0000e+00,-1.2672e-08,1.9439e-08,2.1485
-0.1755,0.2760,0.0000,0.0000e+00,1.0225e-08,2.0830e-08,1.1145
-0.1755,0.2756,0.0154,0.0000e+00,-3.1448e-09,2.2991e-08,1.7067
-0.1755,0.2743,0.0308,0.0000e+00,-4.1542e-09,2.2830e-08,1.7508
-0.1755,0.2721,0.0461,0.0000e+00,-3.9474e-09,2.2867e-08,1.7417
-0.1755,0.2587,0.0961,0.0000e+00,-9.8315e-09,2.1019e-08,2.0083
-0.1755,0.2529,0.1104,0.0000e+00,-1.1101e-08,2.0377e-08,2.0696
-0.1755,0.2464,0.1244,0.0000e+00,-1.2551e-08,1.9517e-08,2.1423
-0.1755,0.2390,0.1380,0.0000e+00,-1.4079e-08,1.8446e-08,2.2227
-0.1755,0.2309,0.1512,0.0000e+00,-1.5717e-08,1.7072e-08,2.3149
-0.1755,0.2221,0.1638,0.0000e+00,-1.7501e-08,1.5237e-08,2.4252
-0.1755,0.2126,0.1760,0.0000e+00,-1.9422e-08,1.2699e-08,2.5625
-0.1755,0.1760,0.2126,0.0000e+00,-2.2645e-08,5.0649e-09,2.9216
-0.1755,0.1638,0.2221,0.0000e+00,-2.2186e-08,6.8006e-09,2.8442
-0.1755,0.1512,0.2309,0.0000e+00,-2.1611e-08,8.4519e-09,2.7688
-0.1755,0.1380,0.2390,0.0000e+00,-2.1869e-08,7.7594e-09,2.8006
-0.1755,0.1244,0.2464,0.0000e+00,-2.2824e-08,4.1874e-09,2.9601
-0.1755,0.1104,0.2529,0.0000e+00,-2.3183e-08,-1.0116e-09,3.1852
-0.1755,0.0961,0.2587,0.0000e+00,-2.2458e-08,-5.8384e-09,3.3959
-0.1755,0.0461,0.2721,0.0000e+00,-1.9177e-08,-1.3065e-08,3.7397
-0.1755,0.0308,0.2743,0.0000e+00,-1.9177e-08,-1.3066e-08,3.7397
-0.1755,0.0154,0.2756,0.0000e+00,-2.0129e-08,-1.1546e-08,3.6624
-0.1755,0.0000,0.2760,0.0000e+00,-2.1687e-08,-8.2552e-09,3.5053
-0.1755,-0.0154,0.2756,0.0000e+00,-2.1788e-08,-7.9841e-09,3.4928
-0.1755,-0.0308,0.2743,0.0000e+00,-2.1289e-08,-9.2337e-09,3.5508
-0.1755,-0.0461,0.2721,0.0000e+00,-2.1162e-08,-9.5211e-09,3.5644
-0.1755,-0.0961,0.2587,0.0000e+00,-1.9569e-08,-1.2470e-08,3.7089
-0.1755,-0.1104,0.2529,0.0000e+00,-1.6153e-08,-1.6660e-08,3.9425
-0.1755,-0.1244,0.2464,0.0000e+00,-1.5526e-08,-1.7245e-08,3.9794
-0.1755,-0.1380,0.2390,0.0000e+00,-2.2722e-08,4.7065e-09,2.9374
-0.1755,-0.1512,0.2309,0.0000e+00,-1.0429e-08,2.0729e-08,2.0369
-0.1755,-0.1638,0.2221,0.0000e+00,4.8428e-09,2.2694e-08,1.3606
-0.1755,-0.1760,0.2126,0.0000e+00,8.2815e-09,2.1677e-08,1.2059
-0.1755,-0.2126,0.1760,0.0000e+00,4.2198e-10,2.3201e-08,1.5526
-0.1755,-0.2221,0.1638,0.0000e+00,2.2968e-08,3.3056e-09,0.1429
-0.1755,-0.2309,0.1512,0.0000e+00,1.7817e-08,1.4867e-08,0.6954
-0.1755,-0.2390,0.1380,0.0000e+00,-5.5783e-09,2.2524e-08,1.8136
-0.1755,-0.2464,0.1244,0.0000e+00,-4.0605e-09,2.2847e-08,1.7467
-0.1755,-0.2529,0.1104,0.0000e+00,1.2927e-08,1.9271e-08,0.9799
-0.1755,-0.2587,0.0961,0.0000e+00,2.2015e-08,7.3351e-09,0.3216
-0.1755,-0.2721,0.0461,0.0000e+00,2.5454e-09,2.3065e-08,1.4609
-0.1755,-0.2743,0.0308,0.0000e+00,9.6330e-11,2.3205e-08,1.5666
-0.1755,-0.2756,0.0154,0.0000e+00,-1.0541e-08,2.0672e-08,2.0424
-0.1755,-0.2760,0.0000,0.0000e+00,4.2446e-10,2.3201e-08,1.5525
-0.1755,-0.2756,-0.0154,0.0000e+00,-3.8575e-09,2.2882e-08,1.7378
-0.1755,-0.2743,-0.0308,0.0000e+00,-4.1455e-09,2.2832e-08,1.7504
