x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,1.7764e-08,-1.4929e-08,-0.6989
-0.1755,0.2743,-0.0308,0.0000e+00,2.0762e-08,-1.0364e-08,-0.4630
-0.1755,0.2756,-0.0154,0.0000e+00,2.2835e-08,-4.1247e-09,-0.1787
-0.1755,0.2760,0.0000,0.0000e+00,2.2218e-08,6.6955e-09,0.2927
-0.1755,0.2756,0.0154,0.0000e+00,-1.9069e-08,1.3223e-08,2.5353
-0.1755,0.2743,0.0308,0.0000e+00,-1.5192e-08,-1.7540e-08,3.9986
-0.1755,0.2721,0.0461,0.0000e+00,-1.9869e-08,-1.1986e-08,3.6844
-0.1755,0.2587,0.0961,0.0000e+00,2.2020e-08,-7.3193e-09,-0.3209
-0.1755,0.2529,0.1104,0.0000e+00,1.9740e-08,-1.2198e-08,-0.5535
-0.1755,0.2464,0.1244,0.0000e+00,2.3179e-08,-1.1018e-09,-0.0475
-0.1755,0.2390,0.1380,0.0000e+00,2.0213e-08,1.1397e-08,0.5134
-0.1755,0.2309,0.1512,0.0000e+00,-2.3165e-08,-1.3546e-09,3.2000
-0.1755,0.2221,0.1638,0.0000e+00,4.1729e-09,-2.2827e-08,4.8932
-0.1755,0.2126,0.1760,0.0000e+00,9.2860e-09,-2.1266e-08,5.1241
-0.1755,0.1760,0.2126,0.0000e+00,2.3111e-08,2.0833e-09,0.0899
-0.1755,0.1638,0.2221,0.0000e+00,2.2720e-08,-4.7169e-09,-0.2047
-0.1755,0.1512,0.2309,0.0000e+00,2.1626e-08,-8.4128e-09,-0.3710
-0.1755,0.1380,0.2390,0.0000e+00,2.2260e-08,-6.5554e-09,-0.2864
-0.1755,0.1244,0.2464,0.0000e+00,2.6444e-10,2.3203e-08,1.5594
-0.1755,0.1104,0.2529,0.0000e+00,1.3622e-08,-1.8785e-08,5.3398
-0.1755,0.0961,0.2587,0.0000e+00,1.5138e-08,-1.7587e-08,5.4231
-0.1755,0.0461,0.2721,0.0000e+00,2.3205e-08,-2.0884e-11,-0.0009
-0.1755,0.0308,0.2743,0.0000e+00,2.3201e-08,-4.0142e-10,-0.0173
-0.1755,0.0154,0.2756,0.0000e+00,2.3204e-08,-2.2508e-10,-0.0097
-0.1755,0.0000,0.2760,0.0000e+00,2.3177e-08,1.1296e-09,0.0487
-0.1755,-0.0154,0.2756,0.0000e+00,2.0236e-08,1.1356e-08,0.5114
-0.1755,-0.0308,0.2743,0.0000e+00,3.8914e-09,2.2876e-08,1.4023
-0.1755,-0.0461,0.2721,0.0000e+00,-8.8649e-09,-2.1445e-08,4.3204
-0.1755,-0.0961,0.2587,0.0000e+00,2.1369e-08,9.0471e-09,0.4005
-0.1755,-0.1104,0.2529,0.0000e+00,2.2035e-08,7.2752e-09,0.3189
-0.1755,-0.1244,0.2464,0.0000e+00,2.3083e-08,2.3743e-09,0.1025
-0.1755,-0.1380,0.2390,0.0000e+00,2.2132e-08,6.9749e-09,0.3053
-0.1755,-0.1512,0.2309,0.0000e+00,2.1856e-08,7.7954e-09,0.3426
-0.1755,-0.1638,0.2221,0.0000e+00,-2.2813e-08,-4.2458e-09,3.3256
-0.1755,-0.1760,0.2126,0.0000e+00,-1.5372e-08,1.7383e-08,2.2949
-0.1755,-0.2126,0.1760,0.0000e+00,2.3205e-08,-6.9614e-12,-0.0003
-0.1755,-0.2221,0.1638,0.0000e+00,2.3205e-08,-0.0000e+00,-0.0000
-0.1755,-0.2309,0.1512,0.0000e+00,2.3205e-08,-0.0000e+00,-0.0000
-0.1755,-0.2390,0.1380,0.0000e+00,2.2479e-08,5.7589e-09,0.2508
-0.1755,-0.2464,0.1244,0.0000e+00,3.9738e-09,2.2862e-08,1.3987
-0.1755,-0.2529,0.1104,0.0000e+00,-2.2927e-08,-3.5802e-09,3.2965
-0.1755,-0.2587,0.0961,0.0000e+00,-2.1776e-08,-8.0180e-09,3.4944
-0.1755,-0.2721,0.0461,0.0000e+00,1.9020e-08,-1.3293e-08,-0.6100
-0.1755,-0.2743,0.0308,0.0000e+00,2.0761e-08,-1.0366e-08,-0.4631
-0.1755,-0.2756,0.0154,0.0000e+00,2.2293e-08,-6.4395e-09,-0.2812
-0.1755,-0.2760,0.0000,0.0000e+00,2.2644e-08,5.0708e-09,0.2203
-0.1755,-0.2756,-0.0154,0.0000e+00,-1.7611e-08,1.5110e-08,2.4325
-0.1755,-0.2743,-0.0308,0.0000e+00,-1.8358e-08,-1.4193e-08,3.7997
-0.1755,-0.2721,-0.0461,0.0000e+00,-1.6690e-08,-1.6122e-08,3.9097
-0.1755,-0.2587,-0.0961,0.0000e+00,2.1527e-08,-8.6631e-09,-0.3826
-0.1755,-0.2529,-0.1104,0.0000e+00,1.8293e-08,-1.4277e-08,-0.6627
-0.1755,-0.2464,-0.1244,0.0000e+00,2.3180e-08,-1.0647e-09,-0.0459
-0.1755,-0.2390,-0.1380,0.0000e+00,2.1648e-08,8.3566e-09,0.3684
-0.1755,-0.2309,-0.1512,0.0000e+00,-2.2766e-08,4.4893e-09,2.9469
-0.1755,-0.2221,-0.1638,0.0000e+00,6.6046e-09,-2.2245e-08,5.0010
-0.1755,-0.2126,-0.1760,0.0000e+00,4.7353e-09,-2.2716e-08,4.9179
-0.1755,-0.1760,-0.2126,0.0000e+00,2.3182e-08,-1.0276e-09,-0.0443
-0.1755,-0.1638,-0.2221,0.0000e+00,2.2747e-08,-4.5851e-09,-0.1989
-0.1755,-0.1512,-0.2309,0.0000e+00,2.1738e-08,-8.1180e-09,-0.3574
-0.1755,-0.1380,-0.2390,0.0000e+00,2.2772e-08,-4.4622e-09,-0.1935
-0.1755,-0.1244,-0.2464,0.0000e+00,6.1580e-09,2.2373e-08,1.3022
-0.1755,-0.1104,-0.2529,0.0000e+00,1.2078e-08,-1.9814e-08,5.2598
-0.1755,-0.0961,-0.2587,0.0000e+00,1.3746e-08,-1.8695e-08,5.3464
-0.1755,-0.0461,-0.2721,0.0000e+00,2.3201e-08,-4.0606e-10,-0.0175
-0.1755,-0.0308,-0.2743,0.0000e+00,2.3094e-08,-2.2612e-09,-0.0976
-0.1755,-0.0154,-0.2756,0.0000e+00,2.3201e-08,-4.3854e-10,-0.0189
-0.1755,-0.0000,-0.2760,0.0000e+00,2.3204e-08,1.9956e-10,0.0086
-0.1755,0.0154,-0.2756,0.0000e+00,1.9610e-08,1.2407e-08,0.5641
-0.1755,0.0308,-0.2743,0.0000e+00,1.1554e-08,2.0124e-08,1.0496
-0.1755,0.0461,-0.2721,0.0000e+00,-1.1316e-08,-2.0259e-08,4.2030
-0.1755,0.0961,-0.2587,0.0000e+00,2.1152e-08,9.5424e-09,0.4238
-0.1755,0.1104,-0.2529,0.0000e+00,2.2715e-08,4.7442e-09,0.2059
-0.1755,0.1244,-0.2464,0.0000e+00,2.3115e-08,-2.0348e-09,-0.0878
-0.1755,0.1380,-0.2390,0.0000e+00,2.3200e-08,-4.5014e-10,-0.0194
-0.1755,0.1512,-0.2309,0.0000e+00,1.8657e-08,1.3798e-08,0.6368
-0.1755,0.1638,-0.2221,0.0000e+00,-2.3137e-08,-1.7713e-09,3.2180
-0.1755,0.1760,-0.2126,0.0000e+00,-1.5934e-08,1.6869e-08,2.3277
-0.1755,0.2126,-0.1760,0.0000e+00,2.3205e-08,-0.0000e+00,-0.0000
-0.1755,0.2221,-0.1638,0.0000e+00,2.3205e-08,-0.0000e+00,-0.0000
-0.1755,0.2309,-0.1512,0.0000e+00,2.3173e-08,1.2200e-09,0.0526
-0.1755,0.2390,-0.1380,0.0000e+00,2.2939e-08,3.4998e-09,0.1514
-0.1755,0.2464,-0.1244,0.0000e+00,4.4370e-09,2.2777e-08,1.3784
-0.1755,0.2529,-0.1104,0.0000e+00,-2.3015e-08,-2.9623e-09,3.2696
-0.1755,0.2587,-0.0961,0.0000e+00,-2.1718e-08,-8.1724e-09,3.5015
-0.0585,0.2721,-0.0461,0.0000e+00,1.0794e-08,-2.0542e-08,-1.0870
-0.0585,0.2743,-0.0308,0.0000e+00,1.9440e-08,-1.2670e-08,-0.5776
-0.0585,0.2756,-0.0154,0.0000e+00,8.1744e-09,2.1717e-08,1.2108
-0.0585,0.2760,0.0000,0.0000e+00,-2.1841e-08,7.8389e-09,2.7970
-0.0585,0.2756,0.0154,0.0000e+00,-2.2064e-08,7.1869e-09,2.8267
-0.0585,0.2743,0.0308,0.0000e+00,6.0317e-10,2.3197e-08,1.5448
-0.0585,0.2721,0.0461,0.0000e+00,1.7127e-08,1.5657e-08,0.7406
-0.0585,0.2587,0.0961,0.0000e+00,1.8099e-08,-1.4522e-08,-0.6762
-0.0585,0.2529,0.1104,0.0000e+00,9.8354e-09,2.1017e-08,1.1331
-0.0585,0.2464,0.1244,0.0000e+00,-2.2484e-08,-5.7389e-09,3.3915
-0.0585,0.2390,0.1380,0.0000e+00,-2.0663e-08,1.0559e-08,2.6692
-0.0585,0.2309,0.1512,0.0000e+00,1.4238e-09,2.3161e-08,1.5094
-0.0585,0.2221,0.1638,0.0000e+00,2.1794e-08,7.9678e-09,0.3505
-0.0585,0.2126,0.1760,0.0000e+00,1.2881e-08,-1.9301e-08,-0.9823
-0.0585,0.1760,0.2126,0.0000e+00,-2.2884e-08,3.8433e-09,2.9752
-0.0585,0.1638,0.2221,0.0000e+00,-2.3188e-08,8.7908e-10,3.1037
-0.0585,0.1512,0.2309,0.0000e+00,-2.1407e-08,8.9549e-09,2.7454
-0.0585,0.1380,0.2390,0.0000e+00,-1.2075e-10,2.3204e-08,1.5760
-0.0585,0.1244,0.2464,0.0000e+00,2.1044e-08,-9.7787e-09,-0.4350
-0.0585,0.1104,0.2529,0.0000e+00,1.0693e-09,2.3180e-08,1.5247
-0.0585,0.0961,0.2587,0.0000e+00,-1.2536e-08,1.9527e-08,2.1415
-0.0585,0.0461,0.2721,0.0000e+00,-1.9209e-08,1.3018e-08,2.5460
-0.0585,0.0308,0.2743,0.0000e+00,-1.5949e-08,1.6855e-08,2.3286
-0.0585,0.0154,0.2756,0.0000e+00,-7.0634e-09,2.2104e-08,1.8801
-0.0585,0.0000,0.2760,0.0000e+00,2.2533e-08,-5.5451e-09,-0.2413
-0.0585,-0.0154,0.2756,0.0000e+00,2.2323e-08,6.3369e-09,0.2766
-0.0585,-0.0308,0.2743,0.0000e+00,7.8914e-09,2.1822e-08,1.2238
-0.0585,-0.0461,0.2721,0.0000e+00,-7.2885e-09,2.2030e-08,1.8903
-0.0585,-0.0961,0.2587,0.0000e+00,-5.9992e-09,2.2416e-08,1.8323
-0.0585,-0.1104,0.2529,0.0000e+00,2.1333e-08,9.1303e-09,0.4044
-0.0585,-0.1244,0.2464,0.0000e+00,-5.0686e-09,2.2644e-08,1.7910
-0.0585,-0.1380,0.2390,0.0000e+00,2.3202e-08,-3.4806e-10,-0.0150
-0.0585,-0.1512,0.2309,0.0000e+00,2.3205e-08,-0.0000e+00,-0.0000
-0.0585,-0.1638,0.2221,0.0000e+00,2.3205e-08,-0.0000e+00,-0.0000
-0.0585,-0.1760,0.2126,0.0000e+00,3.8068e-09,2.2890e-08,1.4060
-0.0585,-0.2126,0.1760,0.0000e+00,-1.7058e-08,1.5732e-08,2.3966
-0.0585,-0.2221,0.1638,0.0000e+00,2.2652e-08,-5.0345e-09,-0.2187
-0.0585,-0.2309,0.1512,0.0000e+00,1.2426e-08,-1.9597e-08,-1.0057
-0.0585,-0.2390,0.1380,0.0000e+00,1.5327e-08,-1.7423e-08,-0.8493
-0.0585,-0.2464,0.1244,0.0000e+00,5.5676e-09,2.2527e-08,1.3285
-0.0585,-0.2529,0.1104,0.0000e+00,-6.6111e-09,2.2243e-08,1.8597
-0.0585,-0.2587,0.0961,0.0000e+00,-1.0748e-08,2.0565e-08,2.0524
-0.0585,-0.2721,0.0461,0.0000e+00,1.9850e-08,-1.2018e-08,-0.5444
-0.0585,-0.2743,0.0308,0.0000e+00,7.7275e-09,-2.1880e-08,-1.2313
-0.0585,-0.2756,0.0154,0.0000e+00,1.8682e-08,1.3765e-08,0.6350
-0.0585,-0.2760,0.0000,0.0000e+00,-2.2606e-08,5.2380e-09,2.9139
-0.0585,-0.2756,-0.0154,0.0000e+00,-2.2375e-08,6.1513e-09,2.8733
-0.0585,-0.2743,-0.0308,0.0000e+00,-1.9424e-09,2.3123e-08,1.6546
-0.0585,-0.2721,-0.0461,0.0000e+00,1.2174e-08,1.9755e-08,1.0185
-0.0585,-0.2587,-0.0961,0.0000e+00,1.9261e-08,-1.2941e-08,-0.5916
-0.0585,-0.2529,-0.1104,0.0000e+00,1.3341e-08,1.8987e-08,0.9583
-0.0585,-0.2464,-0.1244,0.0000e+00,-2.1671e-08,-8.2961e-09,3.5072
-0.0585,-0.2390,-0.1380,0.0000e+00,-2.2803e-08,4.3002e-09,2.9552
-0.0585,-0.2309,-0.1512,0.0000e+00,6.8530e-09,2.2170e-08,1.2710
-0.0585,-0.2221,-0.1638,0.0000e+00,1.7871e-08,1.4801e-08,0.6917
-0.0585,-0.2126,-0.1760,0.0000e+00,1.0567e-08,-2.0659e-08,-1.0980
-0.0585,-0.1760,-0.2126,0.0000e+00,-2.2836e-08,4.1199e-09,2.9631
-0.0585,-0.1638,-0.2221,0.0000e+00,-2.3148e-08,1.6182e-09,3.0718
-0.0585,-0.1512,-0.2309,0.0000e+00,-2.2746e-08,4.5917e-09,2.9424
-0.0585,-0.1380,-0.2390,0.0000e+00,6.4461e-09,2.2291e-08,1.2893
-0.0585,-0.1244,-0.2464,0.0000e+00,2.3194e-08,-6.9372e-10,-0.0299
-0.0585,-0.1104,-0.2529,0.0000e+00,-1.4772e-09,2.3158e-08,1.6345
-0.0585,-0.0961,-0.2587,0.0000e+00,-1.5722e-08,1.7067e-08,2.3152
-0.0585,-0.0461,-0.2721,0.0000e+00,-1.9378e-08,1.2765e-08,2.5591
-0.0585,-0.0308,-0.2743,0.0000e+00,-1.2495e-08,1.9554e-08,2.1394
-0.0585,-0.0154,-0.2756,0.0000e+00,-2.3536e-09,2.3085e-08,1.6724
-0.0585,-0.0000,-0.2760,0.0000e+00,2.2858e-08,-3.9944e-09,-0.1730
-0.0585,0.0154,-0.2756,0.0000e+00,1.2267e-08,1.9697e-08,1.0138
-0.0585,0.0308,-0.2743,0.0000e+00,1.9275e-08,1.2920e-08,0.5905
-0.0585,0.0461,-0.2721,0.0000e+00,-9.1986e-09,2.1304e-08,1.9784
-0.0585,0.0961,-0.2587,0.0000e+00,6.1357e-09,2.2379e-08,1.3032
-0.0585,0.1104,-0.2529,0.0000e+00,-4.4850e-09,2.2767e-08,1.7653
