x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,-2.3204e-08,1.2552e-10,3.1362
-0.1755,0.2743,-0.0308,0.0000e+00,-2.3181e-08,1.0455e-09,3.0965
-0.1755,0.2756,-0.0154,0.0000e+00,-1.8328e-08,1.4232e-08,2.4813
-0.1755,0.2760,0.0000,0.0000e+00,2.9350e-10,2.3203e-08,1.5581
-0.1755,0.2756,0.0154,0.0000e+00,3.3166e-09,2.2967e-08,1.4274
-0.1755,0.2743,0.0308,0.0000e+00,1.0457e-09,2.3181e-08,1.5257
-0.1755,0.2721,0.0461,0.0000e+00,-2.2913e-09,2.3091e-08,1.6697
-0.1755,0.2587,0.0961,0.0000e+00,-1.2205e-08,1.9736e-08,2.1247
-0.1755,0.2529,0.1104,0.0000e+00,-1.4201e-08,1.8352e-08,2.2294
-0.1755,0.2464,0.1244,0.0000e+00,-1.6372e-08,1.6444e-08,2.3540
-0.1755,0.2390,0.1380,0.0000e+00,-1.8252e-08,1.4329e-08,2.4760
-0.1755,0.2309,0.1512,0.0000e+00,-1.5541e-08,1.7232e-08,2.3046
-0.1755,0.2221,0.1638,0.0000e+00,4.5262e-10,2.3200e-08,1.5513
-0.1755,0.2126,0.1760,0.0000e+00,2.1317e-08,9.1666e-09,0.4061
-0.1755,0.1760,0.2126,0.0000e+00,-1.9457e-08,1.2645e-08,2.5653
-0.1755,0.1638,0.2221,0.0000e+00,-1.8809e-08,-1.3590e-08,3.7673
-0.1755,0.1512,0.2309,0.0000e+00,-1.7638e-08,-1.5078e-08,3.8489
-0.1755,0.1380,0.2390,0.0000e+00,-2.2329e-08,-6.3135e-09,3.4171
-0.1755,0.1244,0.2464,0.0000e+00,-2.2816e-08,4.2310e-09,2.9582
-0.1755,0.1104,0.2529,0.0000e+00,-2.1994e-08,7.3989e-09,2.8171
-0.1755,0.0961,0.2587,0.0000e+00,-2.2353e-08,6.2311e-09,2.8697
-0.1755,0.0461,0.2721,0.0000e+00,-2.2576e-08,-5.3647e-09,3.3749
-0.1755,0.0308,0.2743,0.0000e+00,-2.1588e-08,-8.5097e-09,3.5171
-0.1755,0.0154,0.2756,0.0000e+00,-2.0892e-08,-1.0098e-08,3.5918
-0.1755,0.0000,0.2760,0.0000e+00,-2.1233e-08,-9.3615e-09,3.5569
-0.1755,-0.0154,0.2756,0.0000e+00,-2.2278e-08,-6.4920e-09,3.4251
-0.1755,-0.0308,0.2743,0.0000e+00,-2.2928e-08,-3.5728e-09,3.2962
-0.1755,-0.0461,0.2721,0.0000e+00,-2.2984e-08,-3.1910e-09,3.2795
-0.1755,-0.0961,0.2587,0.0000e+00,-2.3202e-08,3.7757e-10,3.1253
-0.1755,-0.1104,0.2529,0.0000e+00,-2.2900e-08,3.7457e-09,2.9795
-0.1755,-0.1244,0.2464,0.0000e+00,-2.3042e-08,-2.7440e-09,3.2601
-0.1755,-0.1380,0.2390,0.0000e+00,-2.0000e-08,1.1767e-08,2.6098
-0.1755,-0.1512,0.2309,0.0000e+00,1.0299e-08,2.0794e-08,1.1109
-0.1755,-0.1638,0.2221,0.0000e+00,1.8045e-08,1.4589e-08,0.6799
-0.1755,-0.1760,0.2126,0.0000e+00,2.1441e-08,8.8734e-09,0.3924
-0.1755,-0.2126,0.1760,0.0000e+00,2.0838e-08,1.0210e-08,0.4556
-0.1755,-0.2221,0.1638,0.0000e+00,-2.0932e-08,1.0016e-08,2.6953
-0.1755,-0.2309,0.1512,0.0000e+00,-7.6793e-09,2.1897e-08,1.9081
-0.1755,-0.2390,0.1380,0.0000e+00,1.8827e-08,1.3566e-08,0.6244
-0.1755,-0.2464,0.1244,0.0000e+00,2.2642e-08,5.0786e-09,0.2206
-0.1755,-0.2529,0.1104,0.0000e+00,2.2936e-08,3.5239e-09,0.1524
-0.1755,-0.2587,0.0961,0.0000e+00,2.0570e-08,-1.0740e-08,-0.4812
-0.1755,-0.2721,0.0461,0.0000e+00,-2.3204e-08,1.3159e-10,3.1359
-0.1755,-0.2743,0.0308,0.0000e+00,-2.3183e-08,1.0066e-09,3.0982
-0.1755,-0.2756,0.0154,0.0000e+00,-1.8390e-08,1.4152e-08,2.4857
-0.1755,-0.2760,0.0000,0.0000e+00,2.9850e-10,2.3203e-08,1.5579
-0.1755,-0.2756,-0.0154,0.0000e+00,3.3822e-09,2.2957e-08,1.4245
-0.1755,-0.2743,-0.0308,0.0000e+00,1.0894e-09,2.3179e-08,1.5238
-0.1755,-0.2721,-0.0461,0.0000e+00,-2.2769e-09,2.3093e-08,1.6691
-0.1755,-0.2587,-0.0961,0.0000e+00,-1.2225e-08,1.9723e-08,2.1257
-0.1755,-0.2529,-0.1104,0.0000e+00,-1.4262e-08,1.8305e-08,2.2327
-0.1755,-0.2464,-0.1244,0.0000e+00,-1.6467e-08,1.6349e-08,2.3598
-0.1755,-0.2390,-0.1380,0.0000e+00,-1.8295e-08,1.4274e-08,2.4790
-0.1755,-0.2309,-0.1512,0.0000e+00,-1.5420e-08,1.7340e-08,2.2976
-0.1755,-0.2221,-0.1638,0.0000e+00,3.3568e-10,2.3202e-08,1.5563
-0.1755,-0.2126,-0.1760,0.0000e+00,2.1157e-08,9.5305e-09,0.4232
-0.1755,-0.1760,-0.2126,0.0000e+00,-1.9577e-08,1.2458e-08,2.5748
-0.1755,-0.1638,-0.2221,0.0000e+00,-1.8816e-08,-1.3581e-08,3.7668
-0.1755,-0.1512,-0.2309,0.0000e+00,-1.7677e-08,-1.5032e-08,3.8463
-0.1755,-0.1380,-0.2390,0.0000e+00,-2.2378e-08,-6.1394e-09,3.4094
-0.1755,-0.1244,-0.2464,0.0000e+00,-2.2781e-08,4.4158e-09,2.9501
-0.1755,-0.1104,-0.2529,0.0000e+00,-2.1954e-08,7.5163e-09,2.8117
-0.1755,-0.0961,-0.2587,0.0000e+00,-2.2334e-08,6.2963e-09,2.8668
-0.1755,-0.0461,-0.2721,0.0000e+00,-2.2578e-08,-5.3558e-09,3.3745
-0.1755,-0.0308,-0.2743,0.0000e+00,-2.1587e-08,-8.5129e-09,3.5172
