x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,-8.6796e-10,2.3189e-08,1.6082
-0.1755,0.2743,-0.0308,0.0000e+00,-2.3197e-08,-6.0961e-10,3.1679
-0.1755,0.2756,-0.0154,0.0000e+00,-2.2781e-08,4.4122e-09,2.9503
-0.1755,0.2760,0.0000,0.0000e+00,-3.0663e-10,2.3203e-08,1.5840
-0.1755,0.2756,0.0154,0.0000e+00,1.6166e-08,1.6647e-08,0.8001
-0.1755,0.2743,0.0308,0.0000e+00,1.7630e-08,-1.5088e-08,-0.7078
-0.1755,0.2721,0.0461,0.0000e+00,-6.5294e-10,2.3196e-08,1.5989
-0.1755,0.2587,0.0961,0.0000e+00,-1.3206e-08,-1.9080e-08,4.1070
-0.1755,0.2529,0.1104,0.0000e+00,1.0945e-08,2.0461e-08,1.0796
-0.1755,0.2464,0.1244,0.0000e+00,-3.7790e-09,2.2895e-08,1.7344
-0.1755,0.2390,0.1380,0.0000e+00,-2.2870e-08,-3.9247e-09,3.3115
-0.1755,0.2309,0.1512,0.0000e+00,-2.3051e-08,-2.6706e-09,3.2569
-0.1755,0.2221,0.1638,0.0000e+00,5.6062e-09,2.2517e-08,1.3268
-0.1755,0.2126,0.1760,0.0000e+00,1.9392e-08,-1.2744e-08,-0.5814
-0.1755,0.1760,0.2126,0.0000e+00,1.7741e-08,1.4957e-08,0.7004
-0.1755,0.1638,0.2221,0.0000e+00,-1.8964e-08,-1.3373e-08,3.7558
-0.1755,0.1512,0.2309,0.0000e+00,-1.4836e-08,-1.7842e-08,4.0187
-0.1755,0.1380,0.2390,0.0000e+00,-2.2808e-08,-4.2716e-09,3.3267
-0.1755,0.1244,0.2464,0.0000e+00,4.6720e-09,2.2730e-08,1.3681
-0.1755,0.1104,0.2529,0.0000e+00,-1.8852e-08,-1.3530e-08,3.7641
-0.1755,0.0961,0.2587,0.0000e+00,1.1922e-08,-1.9908e-08,5.2520
-0.1755,0.0461,0.2721,0.0000e+00,1.8757e-08,-1.3662e-08,5.6537
-0.1755,0.0308,0.2743,0.0000e+00,-4.5881e-09,-2.2747e-08,4.5134
-0.1755,0.0154,0.2756,0.0000e+00,-2.2760e-08,4.5209e-09,2.9455
-0.1755,0.0000,0.2760,0.0000e+00,-2.1134e-08,-9.5810e-09,3.5672
-0.1755,-0.0154,0.2756,0.0000e+00,-1.3624e-08,-1.8784e-08,4.0849
-0.1755,-0.0308,0.2743,0.0000e+00,-8.8445e-09,-2.1453e-08,4.3213
-0.1755,-0.0461,0.2721,0.0000e+00,-5.6126e-09,-2.2516e-08,4.4681
-0.1755,-0.0961,0.2587,0.0000e+00,-6.2904e-09,-2.2336e-08,4.4379
-0.1755,-0.1104,0.2529,0.0000e+00,-2.2747e-08,-4.5880e-09,3.3406
-0.1755,-0.1244,0.2464,0.0000e+00,-2.2057e-08,-7.2068e-09,3.4574
-0.1755,-0.1380,0.2390,0.0000e+00,-2.3139e-08,1.7452e-09,3.0663
-0.1755,-0.1512,0.2309,0.0000e+00,-2.0847e-08,1.0192e-08,2.6869
-0.1755,-0.1638,0.2221,0.0000e+00,1.9009e-08,1.3309e-08,0.6108
-0.1755,-0.1760,0.2126,0.0000e+00,-1.3245e-09,-2.3167e-08,-1.6279
-0.1755,-0.2126,0.1760,0.0000e+00,1.2413e-08,1.9606e-08,1.0064
-0.1755,-0.2221,0.1638,0.0000e+00,-1.9988e-08,1.1787e-08,2.6088
-0.1755,-0.2309,0.1512,0.0000e+00,-1.4889e-08,1.7798e-08,2.2674
-0.1755,-0.2390,0.1380,0.0000e+00,7.0334e-09,2.2113e-08,1.2629
-0.1755,-0.2464,0.1244,0.0000e+00,2.2931e-08,3.5571e-09,0.1539
-0.1755,-0.2529,0.1104,0.0000e+00,1.9708e-08,-1.2250e-08,-0.5561
-0.1755,-0.2587,0.0961,0.0000e+00,9.3217e-09,-2.1250e-08,-1.1574
-0.1755,-0.2721,0.0461,0.0000e+00,-9.3417e-10,2.3186e-08,1.6111
-0.1755,-0.2743,0.0308,0.0000e+00,-2.3198e-08,-5.6272e-10,3.1658
-0.1755,-0.2756,0.0154,0.0000e+00,-2.2825e-08,4.1831e-09,2.9603
-0.1755,-0.2760,0.0000,0.0000e+00,-3.6797e-10,2.3202e-08,1.5867
-0.1755,-0.2756,-0.0154,0.0000e+00,1.6540e-08,1.6275e-08,0.7773
