x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,-2.3109e-08,2.1027e-09,9.3340
-0.1755,0.2743,-0.0308,0.0000e+00,4.2204e-09,2.2818e-08,1.3879
-0.1755,0.2756,-0.0154,0.0000e+00,-2.0325e-08,1.1197e-08,2.6381
-0.1755,0.2760,0.0000,0.0000e+00,4.0411e-09,2.2850e-08,1.3958
-0.1755,0.2756,0.0154,0.0000e+00,2.6435e-09,2.3054e-08,1.4566
-0.1755,0.2743,0.0308,0.0000e+00,4.7346e-10,2.3200e-08,1.5504
-0.1755,0.2721,0.0461,0.0000e+00,2.4248e-09,2.3078e-08,1.4661
-0.1755,0.2587,0.0961,0.0000e+00,1.7948e-09,2.3135e-08,1.4934
-0.1755,0.2529,0.1104,0.0000e+00,4.2090e-10,2.3201e-08,1.5527
-0.1755,0.2464,0.1244,0.0000e+00,2.0926e-10,2.3204e-08,1.5618
-0.1755,0.2390,0.1380,0.0000e+00,8.9894e-10,2.3187e-08,1.5320
-0.1755,0.2309,0.1512,0.0000e+00,1.6653e-09,2.3145e-08,1.4990
-0.1755,0.2221,0.1638,0.0000e+00,9.2673e-10,2.3186e-08,1.5308
-0.1755,0.2126,0.1760,0.0000e+00,1.5744e-09,2.3151e-08,1.5029
-0.1755,0.1760,0.2126,0.0000e+00,7.1280e-10,2.3194e-08,1.5401
-0.1755,0.1638,0.2221,0.0000e+00,1.4319e-09,2.3161e-08,1.5091
-0.1755,0.1512,0.2309,0.0000e+00,3.6626e-10,2.3202e-08,1.5550
-0.1755,0.1380,0.2390,0.0000e+00,1.2864e-09,2.3169e-08,1.5153
-0.1755,0.1244,0.2464,0.0000e+00,1.5529e-09,2.3153e-08,1.5038
-0.1755,0.1104,0.2529,0.0000e+00,3.2397e-09,2.2978e-08,1.4307
-0.1755,0.0961,0.2587,0.0000e+00,2.6563e-09,2.3052e-08,1.4561
-0.1755,0.0461,0.2721,0.0000e+00,4.0010e-10,2.3201e-08,1.5536
-0.1755,0.0308,0.2743,0.0000e+00,1.7267e-09,2.3140e-08,1.4963
-0.1755,0.0154,0.2756,0.0000e+00,3.3535e-09,2.2961e-08,1.4258
-0.1755,0.0000,0.2760,0.0000e+00,-1.0066e-09,2.3183e-08,1.6142
-0.1755,-0.0154,0.2756,0.0000e+00,2.3200e-08,4.4780e-10,0.0193
-0.1755,-0.0308,0.2743,0.0000e+00,2.3269e-10,2.3204e-08,1.5608
-0.1755,-0.0461,0.2721,0.0000e+00,1.5388e-09,2.3154e-08,1.5044
-0.1755,-0.0961,0.2587,0.0000e+00,1.7867e-09,2.3136e-08,1.4937
-0.1755,-0.1104,0.2529,0.0000e+00,8.0222e-10,2.3191e-08,1.5362
-0.1755,-0.1244,0.2464,0.0000e+00,1.4099e-09,2.3162e-08,1.5100
-0.1755,-0.1380,0.2390,0.0000e+00,1.5575e-09,2.3152e-08,1.5036
-0.1755,-0.1512,0.2309,0.0000e+00,2.5618e-09,2.3063e-08,1.4602
-0.1755,-0.1638,0.2221,0.0000e+00,1.2320e-09,2.3172e-08,1.5177
-0.1755,-0.1760,0.2126,0.0000e+00,2.3358e-09,2.3087e-08,1.4700
-0.1755,-0.2126,0.1760,0.0000e+00,1.4437e-09,2.3160e-08,1.5085
-0.1755,-0.2221,0.1638,0.0000e+00,1.0196e-09,2.3182e-08,1.5268
-0.1755,-0.2309,0.1512,0.0000e+00,2.8370e-09,2.3031e-08,1.4482
-0.1755,-0.2390,0.1380,0.0000e+00,3.2847e-09,2.2971e-08,1.4288
-0.1755,-0.2464,0.1244,0.0000e+00,3.4225e-09,2.2951e-08,1.4228
-0.1755,-0.2529,0.1104,0.0000e+00,2.4940e-09,2.3070e-08,1.4631
-0.1755,-0.2587,0.0961,0.0000e+00,2.1370e-09,2.3106e-08,1.4786
-0.1755,-0.2721,0.0461,0.0000e+00,2.3169e-08,1.2937e-09,0.0558
-0.1755,-0.2743,0.0308,0.0000e+00,1.8166e-09,2.3134e-08,1.4924
-0.1755,-0.2756,0.0154,0.0000e+00,-1.6180e-09,2.3148e-08,1.6406
-0.1755,-0.2760,0.0000,0.0000e+00,1.4821e-08,1.7855e-08,0.8780
