x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,-2.2100e-08,7.0743e-09,9.1150
-0.1755,0.2743,-0.0308,0.0000e+00,2.2955e-08,3.3959e-09,0.1469
-0.1755,0.2756,-0.0154,0.0000e+00,-1.8053e-08,1.4579e-08,2.4623
-0.1755,0.2760,0.0000,0.0000e+00,4.9465e-09,2.2671e-08,1.3560
-0.1755,0.2756,0.0154,0.0000e+00,5.3828e-09,2.2572e-08,1.3367
-0.1755,0.2743,0.0308,0.0000e+00,2.9875e-09,2.3012e-08,1.4417
-0.1755,0.2721,0.0461,0.0000e+00,2.2830e-09,2.3092e-08,1.4723
-0.1755,0.2587,0.0961,0.0000e+00,-4.1789e-09,2.2825e-08,1.7519
-0.1755,0.2529,0.1104,0.0000e+00,-2.9735e-09,2.3013e-08,1.6993
-0.1755,0.2464,0.1244,0.0000e+00,-6.7578e-09,2.2199e-08,1.8663
-0.1755,0.2390,0.1380,0.0000e+00,-4.3602e-09,2.2791e-08,1.7598
-0.1755,0.2309,0.1512,0.0000e+00,-2.6939e-09,2.3048e-08,1.6871
-0.1755,0.2221,0.1638,0.0000e+00,-1.2381e-09,2.3172e-08,1.6242
-0.1755,0.2126,0.1760,0.0000e+00,-3.6892e-09,2.2910e-08,1.7305
-0.1755,0.1760,0.2126,0.0000e+00,-5.7596e-10,2.3198e-08,1.5956
-0.1755,0.1638,0.2221,0.0000e+00,-5.3637e-10,2.3199e-08,1.5939
-0.1755,0.1512,0.2309,0.0000e+00,3.5505e-11,2.3205e-08,1.5693
-0.1755,0.1380,0.2390,0.0000e+00,-2.5475e-09,2.3065e-08,1.6808
-0.1755,0.1244,0.2464,0.0000e+00,-1.6806e-09,2.3144e-08,1.6433
-0.1755,0.1104,0.2529,0.0000e+00,2.5673e-09,2.3062e-08,1.4599
-0.1755,0.0961,0.2587,0.0000e+00,1.8127e-09,2.3134e-08,1.4926
-0.1755,0.0461,0.2721,0.0000e+00,1.9452e-09,2.3123e-08,1.4869
-0.1755,0.0308,0.2743,0.0000e+00,2.0002e-09,2.3118e-08,1.4845
-0.1755,0.0154,0.2756,0.0000e+00,2.3142e-08,1.7072e-09,0.0736
-0.1755,0.0000,0.2760,0.0000e+00,-5.4713e-09,2.2551e-08,1.8088
-0.1755,-0.0154,0.2756,0.0000e+00,2.3205e-08,9.4942e-11,0.0041
-0.1755,-0.0308,0.2743,0.0000e+00,-2.2685e-09,2.3094e-08,1.6687
-0.1755,-0.0461,0.2721,0.0000e+00,-2.1814e-09,2.3102e-08,1.6649
-0.1755,-0.0961,0.2587,0.0000e+00,-4.1259e-09,2.2835e-08,1.7496
-0.1755,-0.1104,0.2529,0.0000e+00,4.0611e-09,2.2847e-08,1.3949
-0.1755,-0.1244,0.2464,0.0000e+00,2.1322e-09,2.3107e-08,1.4788
-0.1755,-0.1380,0.2390,0.0000e+00,5.3158e-09,2.2588e-08,1.3397
-0.1755,-0.1512,0.2309,0.0000e+00,3.9345e-09,2.2869e-08,1.4004
-0.1755,-0.1638,0.2221,0.0000e+00,3.4676e-09,2.2944e-08,1.4208
-0.1755,-0.1760,0.2126,0.0000e+00,5.5491e-09,2.2532e-08,1.3293
-0.1755,-0.2126,0.1760,0.0000e+00,5.9305e-09,2.2434e-08,1.3124
-0.1755,-0.2221,0.1638,0.0000e+00,3.4366e-09,2.2949e-08,1.4222
-0.1755,-0.2309,0.1512,0.0000e+00,9.7225e-09,2.1070e-08,1.1385
-0.1755,-0.2390,0.1380,0.0000e+00,8.0605e-09,2.1760e-08,1.2160
-0.1755,-0.2464,0.1244,0.0000e+00,8.3660e-09,2.1644e-08,1.2020
-0.1755,-0.2529,0.1104,0.0000e+00,5.4849e-09,2.2547e-08,1.3322
-0.1755,-0.2587,0.0961,0.0000e+00,1.2804e-08,1.9353e-08,0.9863
-0.1755,-0.2721,0.0461,0.0000e+00,2.2165e-08,6.8683e-09,0.3005
-0.1755,-0.2743,0.0308,0.0000e+00,1.9364e-09,2.3124e-08,1.4872
-0.1755,-0.2756,0.0154,0.0000e+00,1.6238e-09,2.3148e-08,1.5008
-0.1755,-0.2760,0.0000,0.0000e+00,1.1426e-08,2.0197e-08,1.0560
-0.1755,-0.2756,-0.0154,0.0000e+00,-3.5002e-09,2.2939e-08,1.7222
-0.1755,-0.2743,-0.0308,0.0000e+00,-4.1598e-09,2.2829e-08,1.7510
-0.1755,-0.2721,-0.0461,0.0000e+00,-4.1307e-09,2.2834e-08,1.7498
-0.1755,-0.2587,-0.0961,0.0000e+00,-4.1096e-09,2.2838e-08,1.7488
-0.1755,-0.2529,-0.1104,0.0000e+00,-8.3648e-09,2.1645e-08,1.9396
-0.1755,-0.2464,-0.1244,0.0000e+00,-4.2965e-09,2.2804e-08,1.7570
-0.1755,-0.2390,-0.1380,0.0000e+00,-3.4144e-09,2.2952e-08,1.7185
-0.1755,-0.2309,-0.1512,0.0000e+00,1.4140e-09,2.3162e-08,1.5098
-0.1755,-0.2221,-0.1638,0.0000e+00,-2.1305e-09,2.3107e-08,1.6627
-0.1755,-0.2126,-0.1760,0.0000e+00,-2.2384e-09,2.3097e-08,1.6674
-0.1755,-0.1760,-0.2126,0.0000e+00,5.4761e-11,2.3205e-08,1.5684
-0.1755,-0.1638,-0.2221,0.0000e+00,3.1855e-09,2.2985e-08,1.4331
-0.1755,-0.1512,-0.2309,0.0000e+00,4.0342e-09,2.2851e-08,1.3961
-0.1755,-0.1380,-0.2390,0.0000e+00,4.1759e-09,2.2826e-08,1.3899
-0.1755,-0.1244,-0.2464,0.0000e+00,-5.1547e-10,2.3199e-08,1.5930
-0.1755,-0.1104,-0.2529,0.0000e+00,2.6103e-09,2.3058e-08,1.4581
-0.1755,-0.0961,-0.2587,0.0000e+00,-2.0643e-08,1.0599e-08,8.9504
-0.1755,-0.0461,-0.2721,0.0000e+00,1.1260e-08,2.0290e-08,1.0641
-0.1755,-0.0308,-0.2743,0.0000e+00,-1.1461e-08,2.0177e-08,2.0874
-0.1755,-0.0154,-0.2756,0.0000e+00,-5.7485e-09,2.2481e-08,1.8211
-0.1755,-0.0000,-0.2760,0.0000e+00,7.3975e-09,2.1994e-08,1.2463
-0.1755,0.0154,-0.2756,0.0000e+00,1.0662e-08,2.0610e-08,1.0934
-0.1755,0.0308,-0.2743,0.0000e+00,3.7686e-09,2.2897e-08,1.4077
-0.1755,0.0461,-0.2721,0.0000e+00,-1.1026e-09,2.3179e-08,1.6183
-0.1755,0.0961,-0.2587,0.0000e+00,-1.0128e-09,2.3183e-08,1.6145
-0.1755,0.1104,-0.2529,0.0000e+00,2.1052e-09,2.3109e-08,1.4799
-0.1755,0.1244,-0.2464,0.0000e+00,2.1916e-09,2.3101e-08,1.4762
-0.1755,0.1380,-0.2390,0.0000e+00,2.9328e-10,2.3203e-08,1.5582
-0.1755,0.1512,-0.2309,0.0000e+00,9.7806e-10,2.3184e-08,1.5286
-0.1755,0.1638,-0.2221,0.0000e+00,-1.7765e-09,2.3137e-08,1.6474
-0.1755,0.1760,-0.2126,0.0000e+00,2.7714e-09,2.3039e-08,1.4511
-0.1755,0.2126,-0.1760,0.0000e+00,5.8874e-09,2.2446e-08,1.3143
-0.1755,0.2221,-0.1638,0.0000e+00,4.9688e-09,2.2667e-08,1.3550
-0.1755,0.2309,-0.1512,0.0000e+00,6.2681e-09,2.2342e-08,1.2973
-0.1755,0.2390,-0.1380,0.0000e+00,5.0604e-09,2.2646e-08,1.3510
-0.1755,0.2464,-0.1244,0.0000e+00,7.0374e-09,2.2112e-08,1.2627
-0.1755,0.2529,-0.1104,0.0000e+00,9.7057e-09,2.1078e-08,1.1393
-0.1755,0.2587,-0.0961,0.0000e+00,7.6947e-09,2.1892e-08,1.2328
-0.0585,0.2721,-0.0461,0.0000e+00,8.4956e-09,2.1594e-08,1.1960
-0.0585,0.2743,-0.0308,0.0000e+00,9.8253e-09,2.1022e-08,1.1336
-0.0585,0.2756,-0.0154,0.0000e+00,6.1498e-09,2.2375e-08,1.3026
-0.0585,0.2760,0.0000,0.0000e+00,5.0560e-09,2.2647e-08,1.3511
-0.0585,0.2756,0.0154,0.0000e+00,3.4272e-09,2.2950e-08,1.4226
-0.0585,0.2743,0.0308,0.0000e+00,8.3607e-10,2.3190e-08,1.5348
-0.0585,0.2721,0.0461,0.0000e+00,6.2836e-10,2.3196e-08,1.5437
-0.0585,0.2587,0.0961,0.0000e+00,-3.1612e-09,2.2988e-08,1.7075
-0.0585,0.2529,0.1104,0.0000e+00,-4.1387e-09,2.2833e-08,1.7501
-0.0585,0.2464,0.1244,0.0000e+00,-2.4598e-09,2.3074e-08,1.6770
-0.0585,0.2390,0.1380,0.0000e+00,-2.5718e-09,2.3062e-08,1.6819
-0.0585,0.2309,0.1512,0.0000e+00,-1.3300e-10,2.3204e-08,1.5765
-0.0585,0.2221,0.1638,0.0000e+00,-3.3216e-10,2.3202e-08,1.5851
-0.0585,0.2126,0.1760,0.0000e+00,4.1713e-10,2.3201e-08,1.5528
-0.0585,0.1760,0.2126,0.0000e+00,2.6479e-09,2.3053e-08,1.4564
-0.0585,0.1638,0.2221,0.0000e+00,4.5898e-09,2.2746e-08,1.3717
-0.0585,0.1512,0.2309,0.0000e+00,4.5032e-09,2.2764e-08,1.3755
-0.0585,0.1380,0.2390,0.0000e+00,5.6235e-09,2.2513e-08,1.3260
-0.0585,0.1244,0.2464,0.0000e+00,6.4766e-09,2.2283e-08,1.2879
-0.0585,0.1104,0.2529,0.0000e+00,7.0682e-09,2.2102e-08,1.2613
-0.0585,0.0961,0.2587,0.0000e+00,7.2243e-09,2.2052e-08,1.2542
