x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,-1.8307e-08,1.4259e-08,2.4799
-0.1755,0.2743,-0.0308,0.0000e+00,3.4848e-09,-2.2942e-08,4.8631
-0.1755,0.2756,-0.0154,0.0000e+00,8.0414e-09,2.1767e-08,290.2434
-0.1755,0.2760,0.0000,0.0000e+00,1.4397e-09,2.3160e-08,45.4910
-0.1755,0.2756,0.0154,0.0000e+00,-1.9225e-09,2.3125e-08,-23.4790
-0.1755,0.2743,0.0308,0.0000e+00,-6.8301e-09,2.2177e-08,-60.9623
-0.1755,0.2721,0.0461,0.0000e+00,-1.5165e-08,1.7564e-08,140.5131
-0.1755,0.2587,0.0961,0.0000e+00,4.1144e-09,-2.2837e-08,-1.3925
-0.1755,0.2529,0.1104,0.0000e+00,-2.1363e-08,-9.0601e-09,280.0029
-0.1755,0.2464,0.1244,0.0000e+00,-1.4104e-08,1.8427e-08,2.2241
-0.1755,0.2390,0.1380,0.0000e+00,2.7942e-09,2.3036e-08,1.4501
-0.1755,0.2309,0.1512,0.0000e+00,-1.7213e-08,1.5562e-08,2.4065
-0.1755,0.2221,0.1638,0.0000e+00,-2.3170e-08,-1.2642e-09,3.1961
-0.1755,0.2126,0.1760,0.0000e+00,-1.9328e-08,1.2841e-08,2.5552
-0.1755,0.1760,0.2126,0.0000e+00,-2.2932e-08,3.5487e-09,2.9881
-0.1755,0.1638,0.2221,0.0000e+00,-1.7284e-08,1.5483e-08,2.4111
-0.1755,0.1512,0.2309,0.0000e+00,2.1715e-08,-8.1818e-09,-0.3603
-0.1755,0.1380,0.2390,0.0000e+00,1.9378e-08,1.2766e-08,0.5825
-0.1755,0.1244,0.2464,0.0000e+00,2.2359e-08,-6.2076e-09,-0.2708
-0.1755,0.1104,0.2529,0.0000e+00,2.3200e-08,4.8964e-10,0.0211
-0.1755,0.0961,0.2587,0.0000e+00,-1.2905e-08,-1.9285e-08,268.0164
