x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,-2.3187e-08,-8.9731e-10,3.1803
-0.1755,0.2743,-0.0308,0.0000e+00,-2.0228e-08,1.1370e-08,2.6295
-0.1755,0.2756,-0.0154,0.0000e+00,1.7842e-08,1.4836e-08,0.6937
-0.1755,0.2760,0.0000,0.0000e+00,2.0580e-08,1.0720e-08,0.4802
-0.1755,0.2756,0.0154,0.0000e+00,1.5403e-08,1.7355e-08,0.8449
-0.1755,0.2743,0.0308,0.0000e+00,-7.9043e-09,2.1817e-08,1.9184
-0.1755,0.2721,0.0461,0.0000e+00,-2.0189e-08,-1.1440e-08,3.6571
-0.1755,0.2587,0.0961,0.0000e+00,-2.3043e-08,-2.7312e-09,3.2596
-0.1755,0.2529,0.1104,0.0000e+00,-1.6340e-08,1.6476e-08,2.3521
-0.1755,0.2464,0.1244,0.0000e+00,-6.4455e-09,2.2292e-08,1.8523
-0.1755,0.2390,0.1380,0.0000e+00,9.2849e-09,2.1266e-08,1.1591
-0.1755,0.2309,0.1512,0.0000e+00,9.8666e-09,2.1003e-08,1.1316
-0.1755,0.2221,0.1638,0.0000e+00,-1.7945e-08,1.4712e-08,2.4549
-0.1755,0.2126,0.1760,0.0000e+00,-9.4226e-09,-2.1206e-08,4.2942
-0.1755,0.1760,0.2126,0.0000e+00,-7.7571e-09,-2.1870e-08,4.3715
-0.1755,0.1638,0.2221,0.0000e+00,-1.3638e-08,1.8774e-08,2.1990
-0.1755,0.1512,0.2309,0.0000e+00,-1.5750e-08,1.7041e-08,2.3168
-0.1755,0.1380,0.2390,0.0000e+00,-1.9409e-08,-1.2718e-08,3.7216
-0.1755,0.1244,0.2464,0.0000e+00,-1.9723e-08,-1.2225e-08,3.6965
-0.1755,0.1104,0.2529,0.0000e+00,-2.3162e-08,1.4132e-09,3.0807
-0.1755,0.0961,0.2587,0.0000e+00,-2.2555e-08,5.4544e-09,2.9043
-0.1755,0.0461,0.2721,0.0000e+00,-2.2609e-08,-5.2261e-09,3.3688
-0.1755,0.0308,0.2743,0.0000e+00,-2.1945e-08,-7.5415e-09,3.4726
-0.1755,0.0154,0.2756,0.0000e+00,-2.1533e-08,-8.6472e-09,3.5235
-0.1755,0.0000,0.2760,0.0000e+00,-2.1819e-08,-7.8988e-09,3.4889
-0.1755,-0.0154,0.2756,0.0000e+00,-2.2692e-08,-4.8503e-09,3.3522
-0.1755,-0.0308,0.2743,0.0000e+00,-2.3193e-08,-7.4052e-10,3.1735
-0.1755,-0.0461,0.2721,0.0000e+00,-2.3150e-08,1.5940e-09,3.0728
-0.1755,-0.0961,0.2587,0.0000e+00,-2.2894e-08,-3.7869e-09,3.3055
-0.1755,-0.1104,0.2529,0.0000e+00,-2.1860e-08,-7.7841e-09,3.4837
-0.1755,-0.1244,0.2464,0.0000e+00,-2.2134e-08,-6.9688e-09,3.4466
-0.1755,-0.1380,0.2390,0.0000e+00,-2.0034e-08,1.1708e-08,2.6127
-0.1755,-0.1512,0.2309,0.0000e+00,-2.1830e-09,2.3102e-08,1.6650
-0.1755,-0.1638,0.2221,0.0000e+00,2.0108e-08,1.1582e-08,0.5226
-0.1755,-0.1760,0.2126,0.0000e+00,6.2559e-09,-2.2346e-08,-1.2978
-0.1755,-0.2126,0.1760,0.0000e+00,-1.6622e-09,2.3145e-08,1.6425
-0.1755,-0.2221,0.1638,0.0000e+00,-2.2201e-08,-6.7514e-09,3.4368
-0.1755,-0.2309,0.1512,0.0000e+00,-2.3195e-08,6.8320e-10,3.1121
-0.1755,-0.2390,0.1380,0.0000e+00,2.2682e-08,4.8999e-09,0.2128
-0.1755,-0.2464,0.1244,0.0000e+00,2.2110e-08,7.0439e-09,0.3084
-0.1755,-0.2529,0.1104,0.0000e+00,2.2081e-08,7.1340e-09,0.3125
-0.1755,-0.2587,0.0961,0.0000e+00,-1.8477e-08,1.4039e-08,2.4918
-0.1755,-0.2721,0.0461,0.0000e+00,-2.3178e-08,-1.1202e-09,3.1899
-0.1755,-0.2743,0.0308,0.0000e+00,-2.0203e-08,1.1415e-08,2.6273
-0.1755,-0.2756,0.0154,0.0000e+00,1.7936e-08,1.4722e-08,0.6873
-0.1755,-0.2760,0.0000,0.0000e+00,2.0568e-08,1.0744e-08,0.4814
-0.1755,-0.2756,-0.0154,0.0000e+00,1.5187e-08,1.7544e-08,0.8573
-0.1755,-0.2743,-0.0308,0.0000e+00,-8.0117e-09,2.1778e-08,1.9233
-0.1755,-0.2721,-0.0461,0.0000e+00,-2.0196e-08,-1.1427e-08,3.6565
-0.1755,-0.2587,-0.0961,0.0000e+00,-2.2919e-08,-3.6299e-09,3.2987
-0.1755,-0.2529,-0.1104,0.0000e+00,-1.6524e-08,1.6291e-08,2.3633
-0.1755,-0.2464,-0.1244,0.0000e+00,-6.5827e-09,2.2252e-08,1.8584
-0.1755,-0.2390,-0.1380,0.0000e+00,8.1668e-09,2.1720e-08,1.2111
-0.1755,-0.2309,-0.1512,0.0000e+00,8.9385e-09,2.1414e-08,1.1754
-0.1755,-0.2221,-0.1638,0.0000e+00,-1.6684e-08,1.6128e-08,2.3732
-0.1755,-0.2126,-0.1760,0.0000e+00,-9.9574e-09,-2.0960e-08,4.2689
-0.1755,-0.1760,-0.2126,0.0000e+00,-7.9358e-09,-2.1806e-08,4.3634
-0.1755,-0.1638,-0.2221,0.0000e+00,-1.4281e-08,1.8290e-08,2.2337
-0.1755,-0.1512,-0.2309,0.0000e+00,-1.4735e-08,1.7926e-08,2.2588
-0.1755,-0.1380,-0.2390,0.0000e+00,-1.9553e-08,-1.2496e-08,3.7102
-0.1755,-0.1244,-0.2464,0.0000e+00,-1.9564e-08,-1.2479e-08,3.7094
-0.1755,-0.1104,-0.2529,0.0000e+00,-2.3150e-08,1.5924e-09,3.0729
-0.1755,-0.0961,-0.2587,0.0000e+00,-2.2485e-08,5.7352e-09,2.8918
-0.1755,-0.0461,-0.2721,0.0000e+00,-2.2611e-08,-5.2163e-09,3.3683
-0.1755,-0.0308,-0.2743,0.0000e+00,-2.1949e-08,-7.5308e-09,3.4721
-0.1755,-0.0154,-0.2756,0.0000e+00,-2.1538e-08,-8.6351e-09,3.5229
-0.1755,-0.0000,-0.2760,0.0000e+00,-2.1826e-08,-7.8806e-09,3.4881
-0.1755,0.0154,-0.2756,0.0000e+00,-2.2706e-08,-4.7832e-09,3.3492
-0.1755,0.0308,-0.2743,0.0000e+00,-2.3198e-08,-5.6715e-10,3.1660
-0.1755,0.0461,-0.2721,0.0000e+00,-2.3131e-08,1.8549e-09,3.0616
-0.1755,0.0961,-0.2587,0.0000e+00,-2.2910e-08,-3.6897e-09,3.3013
-0.1755,0.1104,-0.2529,0.0000e+00,-2.1843e-08,-7.8326e-09,3.4859
-0.1755,0.1244,-0.2464,0.0000e+00,-2.2072e-08,-7.1609e-09,3.4553
-0.1755,0.1380,-0.2390,0.0000e+00,-2.0423e-08,1.1017e-08,2.6469
-0.1755,0.1512,-0.2309,0.0000e+00,-2.1254e-09,2.3107e-08,1.6625
-0.1755,0.1638,-0.2221,0.0000e+00,1.9549e-08,1.2502e-08,0.5690
-0.1755,0.1760,-0.2126,0.0000e+00,6.6492e-09,-2.2232e-08,-1.2802
-0.1755,0.2126,-0.1760,0.0000e+00,-1.8962e-09,2.3127e-08,1.6526
-0.1755,0.2221,-0.1638,0.0000e+00,-2.2213e-08,-6.7128e-09,3.4351
-0.1755,0.2309,-0.1512,0.0000e+00,-2.3202e-08,3.2877e-10,3.1274
-0.1755,0.2390,-0.1380,0.0000e+00,2.2887e-08,3.8250e-09,0.1656
-0.1755,0.2464,-0.1244,0.0000e+00,2.2158e-08,6.8921e-09,0.3016
-0.1755,0.2529,-0.1104,0.0000e+00,2.1592e-08,8.4986e-09,0.3750
-0.1755,0.2587,-0.0961,0.0000e+00,-1.8520e-08,1.3982e-08,2.4949
-0.0585,0.2721,-0.0461,0.0000e+00,4.2879e-09,2.2805e-08,1.3849
-0.0585,0.2743,-0.0308,0.0000e+00,1.4508e-09,2.3159e-08,1.5082
-0.0585,0.2756,-0.0154,0.0000e+00,-2.3121e-08,1.9726e-09,3.0565
