x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,1.7764e-08,-1.4930e-08,-0.6989
-0.1755,0.2743,-0.0308,0.0000e+00,2.0761e-08,-1.0365e-08,-0.4630
-0.1755,0.2756,-0.0154,0.0000e+00,2.2835e-08,-4.1256e-09,-0.1787
-0.1755,0.2760,0.0000,0.0000e+00,2.2218e-08,6.6961e-09,0.2927
-0.1755,0.2756,0.0154,0.0000e+00,-1.9069e-08,1.3222e-08,2.5353
-0.1755,0.2743,0.0308,0.0000e+00,-1.5193e-08,-1.7539e-08,3.9986
-0.1755,0.2721,0.0461,0.0000e+00,-1.9870e-08,-1.1985e-08,3.6844
-0.1755,0.2587,0.0961,0.0000e+00,2.2020e-08,-7.3200e-09,-0.3209
-0.1755,0.2529,0.1104,0.0000e+00,1.9741e-08,-1.2197e-08,-0.5535
-0.1755,0.2464,0.1244,0.0000e+00,2.3179e-08,-1.1013e-09,-0.0475
-0.1755,0.2390,0.1380,0.0000e+00,2.0214e-08,1.1396e-08,0.5134
-0.1755,0.2309,0.1512,0.0000e+00,-2.3165e-08,-1.3540e-09,3.2000
-0.1755,0.2221,0.1638,0.0000e+00,4.1738e-09,-2.2826e-08,4.8932
-0.1755,0.2126,0.1760,0.0000e+00,9.2854e-09,-2.1266e-08,5.1241
-0.1755,0.1760,0.2126,0.0000e+00,2.3111e-08,2.0824e-09,0.0899
-0.1755,0.1638,0.2221,0.0000e+00,2.2720e-08,-4.7180e-09,-0.2047
-0.1755,0.1512,0.2309,0.0000e+00,2.1626e-08,-8.4123e-09,-0.3710
-0.1755,0.1380,0.2390,0.0000e+00,2.2259e-08,-6.5563e-09,-0.2864
-0.1755,0.1244,0.2464,0.0000e+00,2.6558e-10,2.3203e-08,1.5594
-0.1755,0.1104,0.2529,0.0000e+00,1.3622e-08,-1.8786e-08,5.3398
-0.1755,0.0961,0.2587,0.0000e+00,1.5139e-08,-1.7586e-08,5.4231
-0.1755,0.0461,0.2721,0.0000e+00,2.3205e-08,-2.1566e-11,-0.0009
-0.1755,0.0308,0.2743,0.0000e+00,2.3201e-08,-4.0110e-10,-0.0173
-0.1755,0.0154,0.2756,0.0000e+00,2.3204e-08,-2.2460e-10,-0.0097
-0.1755,0.0000,0.2760,0.0000e+00,2.3177e-08,1.1291e-09,0.0487
-0.1755,-0.0154,0.2756,0.0000e+00,2.0236e-08,1.1357e-08,0.5114
-0.1755,-0.0308,0.2743,0.0000e+00,3.8907e-09,2.2876e-08,1.4023
-0.1755,-0.0461,0.2721,0.0000e+00,-8.8653e-09,-2.1445e-08,4.3204
-0.1755,-0.0961,0.2587,0.0000e+00,2.1368e-08,9.0473e-09,0.4005
-0.1755,-0.1104,0.2529,0.0000e+00,2.2035e-08,7.2746e-09,0.3189
-0.1755,-0.1244,0.2464,0.0000e+00,2.3083e-08,2.3734e-09,0.1025
-0.1755,-0.1380,0.2390,0.0000e+00,2.2131e-08,6.9758e-09,0.3053
-0.1755,-0.1512,0.2309,0.0000e+00,2.1856e-08,7.7950e-09,0.3426
-0.1755,-0.1638,0.2221,0.0000e+00,-2.2813e-08,-4.2469e-09,3.3256
-0.1755,-0.1760,0.2126,0.0000e+00,-1.5373e-08,1.7382e-08,2.2949
-0.1755,-0.2126,0.1760,0.0000e+00,2.3205e-08,-7.5809e-12,-0.0003
-0.1755,-0.2221,0.1638,0.0000e+00,2.3205e-08,-5.6711e-14,-0.0000
-0.1755,-0.2309,0.1512,0.0000e+00,2.3205e-08,-3.5886e-16,-0.0000
-0.1755,-0.2390,0.1380,0.0000e+00,2.2479e-08,5.7586e-09,0.2508
-0.1755,-0.2464,0.1244,0.0000e+00,3.9734e-09,2.2862e-08,1.3987
-0.1755,-0.2529,0.1104,0.0000e+00,-2.2927e-08,-3.5797e-09,3.2965
-0.1755,-0.2587,0.0961,0.0000e+00,-2.1776e-08,-8.0180e-09,3.4944
-0.1755,-0.2721,0.0461,0.0000e+00,1.9020e-08,-1.3292e-08,-0.6100
-0.1755,-0.2743,0.0308,0.0000e+00,2.0760e-08,-1.0367e-08,-0.4631
-0.1755,-0.2756,0.0154,0.0000e+00,2.2293e-08,-6.4392e-09,-0.2812
-0.1755,-0.2760,0.0000,0.0000e+00,2.2644e-08,5.0709e-09,0.2203
-0.1755,-0.2756,-0.0154,0.0000e+00,-1.7611e-08,1.5110e-08,2.4325
-0.1755,-0.2743,-0.0308,0.0000e+00,-1.8359e-08,-1.4192e-08,3.7997
-0.1755,-0.2721,-0.0461,0.0000e+00,-1.6689e-08,-1.6122e-08,3.9097
-0.1755,-0.2587,-0.0961,0.0000e+00,2.1527e-08,-8.6626e-09,-0.3826
-0.1755,-0.2529,-0.1104,0.0000e+00,1.8293e-08,-1.4277e-08,-0.6627
-0.1755,-0.2464,-0.1244,0.0000e+00,2.3180e-08,-1.0637e-09,-0.0459
-0.1755,-0.2390,-0.1380,0.0000e+00,2.1648e-08,8.3571e-09,0.3684
-0.1755,-0.2309,-0.1512,0.0000e+00,-2.2766e-08,4.4897e-09,2.9469
-0.1755,-0.2221,-0.1638,0.0000e+00,6.6041e-09,-2.2245e-08,5.0010
-0.1755,-0.2126,-0.1760,0.0000e+00,4.7349e-09,-2.2717e-08,4.9179
-0.1755,-0.1760,-0.2126,0.0000e+00,2.3182e-08,-1.0281e-09,-0.0443
-0.1755,-0.1638,-0.2221,0.0000e+00,2.2747e-08,-4.5848e-09,-0.1989
-0.1755,-0.1512,-0.2309,0.0000e+00,2.1738e-08,-8.1185e-09,-0.3574
-0.1755,-0.1380,-0.2390,0.0000e+00,2.2772e-08,-4.4619e-09,-0.1935
-0.1755,-0.1244,-0.2464,0.0000e+00,6.1572e-09,2.2373e-08,1.3022
-0.1755,-0.1104,-0.2529,0.0000e+00,1.2077e-08,-1.9814e-08,5.2598
-0.1755,-0.0961,-0.2587,0.0000e+00,1.3747e-08,-1.8695e-08,5.3464
-0.1755,-0.0461,-0.2721,0.0000e+00,2.3201e-08,-4.0662e-10,-0.0175
-0.1755,-0.0308,-0.2743,0.0000e+00,2.3094e-08,-2.2605e-09,-0.0976
-0.1755,-0.0154,-0.2756,0.0000e+00,2.3201e-08,-4.3928e-10,-0.0189
-0.1755,-0.0000,-0.2760,0.0000e+00,2.3204e-08,1.9913e-10,0.0086
-0.1755,0.0154,-0.2756,0.0000e+00,1.9610e-08,1.2406e-08,0.5641
-0.1755,0.0308,-0.2743,0.0000e+00,1.1555e-08,2.0123e-08,1.0496
-0.1755,0.0461,-0.2721,0.0000e+00,-1.1316e-08,-2.0258e-08,4.2030
-0.1755,0.0961,-0.2587,0.0000e+00,2.1152e-08,9.5428e-09,0.4238
-0.1755,0.1104,-0.2529,0.0000e+00,2.2715e-08,4.7442e-09,0.2059
-0.1755,0.1244,-0.2464,0.0000e+00,2.3115e-08,-2.0340e-09,-0.0878
-0.1755,0.1380,-0.2390,0.0000e+00,2.3200e-08,-4.4939e-10,-0.0194
-0.1755,0.1512,-0.2309,0.0000e+00,1.8657e-08,1.3798e-08,0.6368
-0.1755,0.1638,-0.2221,0.0000e+00,-2.3137e-08,-1.7705e-09,3.2180
-0.1755,0.1760,-0.2126,0.0000e+00,-1.5934e-08,1.6869e-08,2.3277
-0.1755,0.2126,-0.1760,0.0000e+00,2.3205e-08,-6.3319e-14,-0.0000
-0.1755,0.2221,-0.1638,0.0000e+00,2.3205e-08,-1.6328e-16,-0.0000
-0.1755,0.2309,-0.1512,0.0000e+00,2.3173e-08,1.2189e-09,0.0526
-0.1755,0.2390,-0.1380,0.0000e+00,2.2939e-08,3.4989e-09,0.1514
-0.1755,0.2464,-0.1244,0.0000e+00,4.4381e-09,2.2776e-08,1.3784
-0.1755,0.2529,-0.1104,0.0000e+00,-2.3015e-08,-2.9624e-09,3.2696
-0.1755,0.2587,-0.0961,0.0000e+00,-2.1718e-08,-8.1732e-09,3.5015
-0.0585,0.2721,-0.0461,0.0000e+00,1.0794e-08,-2.0542e-08,-1.0870
-0.0585,0.2743,-0.0308,0.0000e+00,1.9441e-08,-1.2669e-08,-0.5776
-0.0585,0.2756,-0.0154,0.0000e+00,8.1749e-09,2.1717e-08,1.2108
-0.0585,0.2760,0.0000,0.0000e+00,-2.1841e-08,7.8385e-09,2.7970
-0.0585,0.2756,0.0154,0.0000e+00,-2.2064e-08,7.1874e-09,2.8267
-0.0585,0.2743,0.0308,0.0000e+00,6.0215e-10,2.3197e-08,1.5448
-0.0585,0.2721,0.0461,0.0000e+00,1.7126e-08,1.5657e-08,0.7406
-0.0585,0.2587,0.0961,0.0000e+00,1.8098e-08,-1.4523e-08,-0.6762
-0.0585,0.2529,0.1104,0.0000e+00,9.8364e-09,2.1017e-08,1.1331
-0.0585,0.2464,0.1244,0.0000e+00,-2.2484e-08,-5.7399e-09,3.3915
-0.0585,0.2390,0.1380,0.0000e+00,-2.0664e-08,1.0558e-08,2.6692
-0.0585,0.2309,0.1512,0.0000e+00,1.4244e-09,2.3161e-08,1.5094
-0.0585,0.2221,0.1638,0.0000e+00,2.1794e-08,7.9678e-09,0.3505
-0.0585,0.2126,0.1760,0.0000e+00,1.2881e-08,-1.9301e-08,-0.9823
