x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.0585,0.2721,-0.0461,0.0000e+00,2.3205e-08,-1.1657e-17,6.2832
-0.0585,0.2743,-0.0308,0.0000e+00,2.3205e-08,-1.1788e-17,6.2832
-0.0585,0.2756,-0.0154,0.0000e+00,-9.7628e-09,2.1051e-08,2.0050
-0.0585,0.2760,0.0000,0.0000e+00,-9.3477e-09,2.1239e-08,1.9854
-0.0585,0.2756,0.0154,0.0000e+00,-8.0613e-09,2.1760e-08,1.9256
-0.0585,0.2743,0.0308,0.0000e+00,-6.1199e-09,2.2383e-08,1.8377
-0.0585,0.2721,0.0461,0.0000e+00,-4.2509e-09,2.2812e-08,1.7550
-0.0585,0.2587,0.0961,0.0000e+00,-6.2404e-09,2.2350e-08,1.8431
-0.0585,0.2529,0.1104,0.0000e+00,-1.0858e-08,2.0508e-08,2.0577
-0.0585,0.2464,0.1244,0.0000e+00,-2.0704e-08,1.0479e-08,2.6731
-0.0585,0.2390,0.1380,0.0000e+00,-1.1079e-08,-2.0389e-08,4.2146
-0.0585,0.2309,0.1512,0.0000e+00,1.8089e-09,-2.3134e-08,4.7904
-0.0585,0.2221,0.1638,0.0000e+00,7.7785e-09,-2.1862e-08,5.0542
-0.0585,0.2126,0.1760,0.0000e+00,1.1901e-08,-1.9920e-08,5.2509
-0.0585,0.1760,0.2126,0.0000e+00,2.0678e-08,-1.0529e-08,5.8122
-0.0585,0.1638,0.2221,0.0000e+00,2.2088e-08,-7.1108e-09,5.9717
-0.0585,0.1512,0.2309,0.0000e+00,2.2936e-08,-3.5224e-09,6.1308
-0.0585,0.1380,0.2390,0.0000e+00,2.3205e-08,-7.8510e-12,6.2828
-0.0585,0.1244,0.2464,0.0000e+00,2.2849e-08,4.0497e-09,0.1754
-0.0585,0.1104,0.2529,0.0000e+00,2.3205e-08,-7.8751e-15,6.2832
-0.0585,0.0961,0.2587,0.0000e+00,2.3205e-08,-4.2238e-17,6.2832
-0.0585,0.0461,0.2721,0.0000e+00,2.3205e-08,-1.2537e-17,6.2832
