x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.2721,-0.0461,0.0000e+00,1.7995e-08,1.4650e-08,6.9665
-0.1755,0.2743,-0.0308,0.0000e+00,7.7119e-09,2.1886e-08,1.2320
-0.1755,0.2756,-0.0154,0.0000e+00,-3.9649e-09,2.2864e-08,1.7425
-0.1755,0.2760,0.0000,0.0000e+00,6.9382e-09,2.2143e-08,1.2672
-0.1755,0.2756,0.0154,0.0000e+00,-2.3722e-09,2.3083e-08,1.6732
-0.1755,0.2743,0.0308,0.0000e+00,-1.5613e-09,2.3152e-08,1.6381
-0.1755,0.2721,0.0461,0.0000e+00,2.9113e-09,2.3021e-08,1.4450
-0.1755,0.2587,0.0961,0.0000e+00,-1.7212e-08,1.5564e-08,2.4064
-0.1755,0.2529,0.1104,0.0000e+00,-1.6106e-08,1.6705e-08,2.3379
-0.1755,0.2464,0.1244,0.0000e+00,-9.3683e-09,2.1230e-08,1.9864
-0.1755,0.2390,0.1380,0.0000e+00,-2.0645e-08,1.0595e-08,2.6674
-0.1755,0.2309,0.1512,0.0000e+00,-1.2764e-08,1.9379e-08,2.1532
-0.1755,0.2221,0.1638,0.0000e+00,-1.8947e-08,1.3397e-08,2.5261
-0.1755,0.2126,0.1760,0.0000e+00,-1.0043e-08,2.0919e-08,2.0184
-0.1755,0.1760,0.2126,0.0000e+00,-1.4593e-08,1.8042e-08,2.2509
-0.1755,0.1638,0.2221,0.0000e+00,-8.5693e-10,2.3189e-08,1.6077
-0.1755,0.1512,0.2309,0.0000e+00,-1.4763e-08,1.7903e-08,2.2604
-0.1755,0.1380,0.2390,0.0000e+00,8.7344e-09,2.1498e-08,1.1849
-0.1755,0.1244,0.2464,0.0000e+00,2.8580e-09,2.3028e-08,1.4473
-0.1755,0.1104,0.2529,0.0000e+00,5.7341e-09,2.2485e-08,1.3211
-0.1755,0.0961,0.2587,0.0000e+00,5.4622e-09,2.2553e-08,1.3332
-0.1755,0.0461,0.2721,0.0000e+00,-1.3928e-08,1.8560e-08,2.2146
-0.1755,0.0308,0.2743,0.0000e+00,-2.2673e-08,-4.9371e-09,3.3560
-0.1755,0.0154,0.2756,0.0000e+00,-9.4754e-09,2.1182e-08,1.9914
-0.1755,0.0000,0.2760,0.0000e+00,-1.6569e-08,1.6246e-08,2.3660
-0.1755,-0.0154,0.2756,0.0000e+00,4.3264e-09,2.2798e-08,1.3833
-0.1755,-0.0308,0.2743,0.0000e+00,1.6305e-08,1.6511e-08,0.7917
-0.1755,-0.0461,0.2721,0.0000e+00,-2.0731e-08,1.0425e-08,2.6757
-0.1755,-0.0961,0.2587,0.0000e+00,-1.7944e-08,-1.4713e-08,3.8284
-0.1755,-0.1104,0.2529,0.0000e+00,5.6322e-09,2.2511e-08,1.3256
-0.1755,-0.1244,0.2464,0.0000e+00,1.1590e-08,2.0103e-08,1.0478
-0.1755,-0.1380,0.2390,0.0000e+00,9.9746e-09,2.0952e-08,1.1265
-0.1755,-0.1512,0.2309,0.0000e+00,6.8795e-09,2.2162e-08,1.2698
-0.1755,-0.1638,0.2221,0.0000e+00,9.5956e-09,2.1128e-08,1.1445
-0.1755,-0.1760,0.2126,0.0000e+00,4.5658e-09,2.2751e-08,1.3727
-0.1755,-0.2126,0.1760,0.0000e+00,1.8828e-08,1.3564e-08,0.6243
-0.1755,-0.2221,0.1638,0.0000e+00,1.9124e-08,1.3143e-08,0.6021
-0.1755,-0.2309,0.1512,0.0000e+00,1.8191e-08,1.4407e-08,0.6698
-0.1755,-0.2390,0.1380,0.0000e+00,1.9729e-08,1.2216e-08,0.5544
-0.1755,-0.2464,0.1244,0.0000e+00,2.0131e-08,1.1541e-08,0.5205
-0.1755,-0.2529,0.1104,0.0000e+00,2.1113e-08,9.6289e-09,0.4279
-0.1755,-0.2587,0.0961,0.0000e+00,8.7844e-09,2.1478e-08,1.1826
-0.1755,-0.2721,0.0461,0.0000e+00,-4.5366e-09,2.2757e-08,1.7676
-0.1755,-0.2743,0.0308,0.0000e+00,4.4426e-09,2.2776e-08,1.3782
-0.1755,-0.2756,0.0154,0.0000e+00,1.1399e-09,2.3177e-08,1.5217
-0.1755,-0.2760,0.0000,0.0000e+00,-5.7320e-09,2.2486e-08,1.8204
-0.1755,-0.2756,-0.0154,0.0000e+00,-6.5535e-09,2.2260e-08,1.8571
-0.1755,-0.2743,-0.0308,0.0000e+00,2.0266e-08,1.1303e-08,0.5088
-0.1755,-0.2721,-0.0461,0.0000e+00,-1.3000e-08,1.9222e-08,2.1654
-0.1755,-0.2587,-0.0961,0.0000e+00,-2.0242e-08,1.1346e-08,2.6307
-0.1755,-0.2529,-0.1104,0.0000e+00,-2.0474e-08,1.0922e-08,2.6515
-0.1755,-0.2464,-0.1244,0.0000e+00,-2.2154e-08,6.9029e-09,2.8395
-0.1755,-0.2390,-0.1380,0.0000e+00,-2.1395e-08,8.9841e-09,2.7440
-0.1755,-0.2309,-0.1512,0.0000e+00,-1.2063e-08,1.9823e-08,2.1175
