x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
0.0000,0.2721,-0.0461,0.0000e+00,6.2104e-09,2.2358e-08,1.2999
0.0000,0.2743,-0.0308,0.0000e+00,2.0166e-09,2.3117e-08,1.4838
0.0000,0.2756,-0.0154,0.0000e+00,-1.1508e-08,-2.0150e-08,4.1935
0.0000,0.2760,0.0000,0.0000e+00,-1.3150e-08,-1.9119e-08,4.1099
0.0000,0.2756,0.0154,0.0000e+00,2.2098e-08,7.0804e-09,0.3101
0.0000,0.2743,0.0308,0.0000e+00,2.2183e-08,6.8114e-09,0.2979
0.0000,0.2721,0.0461,0.0000e+00,-2.2132e-08,-6.9745e-09,3.4469
0.0000,0.2587,0.0961,0.0000e+00,-7.8508e-09,2.1836e-08,1.9159
0.0000,0.2529,0.1104,0.0000e+00,-6.2038e-09,-2.2360e-08,4.4417
0.0000,0.2464,0.1244,0.0000e+00,1.4996e-08,1.7708e-08,0.8681
0.0000,0.2390,0.1380,0.0000e+00,8.3414e-09,-2.1654e-08,5.0801
0.0000,0.2309,0.1512,0.0000e+00,-6.3424e-10,-2.3196e-08,4.6851
0.0000,0.2221,0.1638,0.0000e+00,-1.5440e-08,1.7323e-08,2.2988
0.0000,0.2126,0.1760,0.0000e+00,9.1656e-09,2.1318e-08,1.1647
0.0000,0.1760,0.2126,0.0000e+00,-1.5196e-08,-1.7537e-08,3.9984
0.0000,0.1638,0.2221,0.0000e+00,-1.3955e-08,1.8539e-08,2.2160
0.0000,0.1512,0.2309,0.0000e+00,2.3205e-08,1.6648e-13,0.0000
0.0000,0.1380,0.2390,0.0000e+00,-1.2542e-08,-1.9523e-08,4.1413
0.0000,0.1244,0.2464,0.0000e+00,1.9146e-08,1.3111e-08,0.6004
0.0000,0.1104,0.2529,0.0000e+00,-2.1711e-08,8.1920e-09,2.7808
0.0000,0.0961,0.2587,0.0000e+00,2.3018e-08,2.9406e-09,0.1271
0.0000,0.0461,0.2721,0.0000e+00,-6.7775e-09,-2.2193e-08,4.4160
0.0000,0.0308,0.2743,0.0000e+00,-2.3166e-08,-1.3450e-09,3.1996
0.0000,0.0154,0.2756,0.0000e+00,-1.6190e-08,1.6624e-08,2.3430
0.0000,0.0000,0.2760,0.0000e+00,2.0409e-08,1.1042e-08,0.4959
0.0000,-0.0154,0.2756,0.0000e+00,-2.3174e-08,1.2022e-09,3.0898
0.0000,-0.0308,0.2743,0.0000e+00,2.3205e-08,5.5910e-15,0.0000
0.0000,-0.0461,0.2721,0.0000e+00,-2.0050e-09,2.3118e-08,1.6573
0.0000,-0.0961,0.2587,0.0000e+00,-2.2750e-08,-4.5726e-09,3.3399
0.0000,-0.1104,0.2529,0.0000e+00,9.7040e-09,-2.1078e-08,5.1438
0.0000,-0.1244,0.2464,0.0000e+00,2.0379e-08,1.1097e-08,0.4986
0.0000,-0.1380,0.2390,0.0000e+00,9.8521e-09,2.1010e-08,1.1323
0.0000,-0.1512,0.2309,0.0000e+00,1.2236e-08,1.9716e-08,1.0154
0.0000,-0.1638,0.2221,0.0000e+00,-1.8671e-08,-1.3779e-08,3.7774
0.0000,-0.1760,0.2126,0.0000e+00,-1.3559e-08,-1.8831e-08,4.0884
0.0000,-0.2126,0.1760,0.0000e+00,-6.8675e-09,2.2165e-08,1.8712
0.0000,-0.2221,0.1638,0.0000e+00,-1.9174e-08,-1.3071e-08,3.7399
0.0000,-0.2309,0.1512,0.0000e+00,2.2911e-08,3.6832e-09,0.1594
0.0000,-0.2390,0.1380,0.0000e+00,2.0198e-08,1.1423e-08,0.5147
0.0000,-0.2464,0.1244,0.0000e+00,1.3910e-08,1.8573e-08,0.9280
0.0000,-0.2529,0.1104,0.0000e+00,9.9697e-09,-2.0954e-08,5.1565
0.0000,-0.2587,0.0961,0.0000e+00,-1.9566e-08,-1.2475e-08,3.7092
0.0000,-0.2721,0.0461,0.0000e+00,-2.1995e-08,-7.3944e-09,3.4659
0.0000,-0.2743,0.0308,0.0000e+00,-2.2657e-08,5.0104e-09,2.9240
0.0000,-0.2756,0.0154,0.0000e+00,9.2242e-09,-2.1293e-08,5.1212
0.0000,-0.2760,0.0000,0.0000e+00,1.9046e-08,1.3256e-08,0.6081
0.0000,-0.2756,-0.0154,0.0000e+00,2.1051e-08,9.7634e-09,0.4343
0.0000,-0.2743,-0.0308,0.0000e+00,7.8328e-09,2.1843e-08,1.2265
0.0000,-0.2721,-0.0461,0.0000e+00,-2.1126e-08,-9.6006e-09,3.5681
0.0000,-0.2587,-0.0961,0.0000e+00,-6.4329e-09,-2.2295e-08,4.4315
0.0000,-0.2529,-0.1104,0.0000e+00,-1.6263e-08,-1.6552e-08,3.9358
0.0000,-0.2464,-0.1244,0.0000e+00,1.3753e-08,1.8690e-08,0.9364
0.0000,-0.2390,-0.1380,0.0000e+00,1.5035e-08,1.7675e-08,0.8659
0.0000,-0.2309,-0.1512,0.0000e+00,-2.3205e-08,-1.7203e-11,3.1423
0.0000,-0.2221,-0.1638,0.0000e+00,1.5313e-08,-1.7435e-08,5.4331
0.0000,-0.2126,-0.1760,0.0000e+00,1.8523e-08,1.3978e-08,0.6465
0.0000,-0.1760,-0.2126,0.0000e+00,-2.1818e-08,-7.9019e-09,3.4891
0.0000,-0.1638,-0.2221,0.0000e+00,-1.3371e-08,-1.8966e-08,4.0983
0.0000,-0.1512,-0.2309,0.0000e+00,2.3205e-08,6.2241e-14,0.0000
0.0000,-0.1380,-0.2390,0.0000e+00,-1.0061e-08,2.0910e-08,2.0192
0.0000,-0.1244,-0.2464,0.0000e+00,-1.2628e-08,-1.9468e-08,4.1370
0.0000,-0.1104,-0.2529,0.0000e+00,7.5376e-09,2.1946e-08,1.2400
0.0000,-0.0961,-0.2587,0.0000e+00,2.3205e-08,2.9129e-15,0.0000
0.0000,-0.0461,-0.2721,0.0000e+00,5.6278e-10,-2.3198e-08,4.7366
0.0000,-0.0308,-0.2743,0.0000e+00,4.4000e-09,-2.2784e-08,4.9032
0.0000,-0.0154,-0.2756,0.0000e+00,-1.1775e-08,1.9996e-08,2.1030
0.0000,-0.0000,-0.2760,0.0000e+00,-2.3058e-08,2.6037e-09,3.0292
0.0000,0.0154,-0.2756,0.0000e+00,-2.1981e-08,-7.4359e-09,3.4678
0.0000,0.0308,-0.2743,0.0000e+00,2.3205e-08,4.3606e-15,0.0000
0.0000,0.0461,-0.2721,0.0000e+00,3.7967e-10,2.3202e-08,1.5544
0.0000,0.0961,-0.2587,0.0000e+00,-1.1377e-08,-2.0225e-08,4.2000
0.0000,0.1104,-0.2529,0.0000e+00,1.6696e-08,-1.6116e-08,5.5155
0.0000,0.1244,-0.2464,0.0000e+00,-1.5333e-08,1.7418e-08,2.2926
0.0000,0.1380,-0.2390,0.0000e+00,1.7930e-08,1.4730e-08,0.6877
0.0000,0.1512,-0.2309,0.0000e+00,1.1950e-08,1.9891e-08,1.0298
0.0000,0.1638,-0.2221,0.0000e+00,-1.1991e-08,-1.9866e-08,4.1693
0.0000,0.1760,-0.2126,0.0000e+00,-1.9240e-08,-1.2973e-08,3.7348
0.0000,0.2126,-0.1760,0.0000e+00,-4.4252e-09,-2.2779e-08,4.5205
0.0000,0.2221,-0.1638,0.0000e+00,9.1363e-09,2.1330e-08,1.1661
0.0000,0.2309,-0.1512,0.0000e+00,1.9869e-08,1.1987e-08,0.5428
0.0000,0.2390,-0.1380,0.0000e+00,-2.2251e-08,6.5847e-09,2.8539
0.0000,0.2464,-0.1244,0.0000e+00,2.3205e-08,2.3219e-15,0.0000
0.0000,0.2529,-0.1104,0.0000e+00,-1.6086e-08,-1.6724e-08,3.9464
0.0000,0.2587,-0.0961,0.0000e+00,-1.0509e-08,-2.0689e-08,4.2424
