x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
0.0000,0.2721,-0.0461,0.0000e+00,1.2230e-08,1.9720e-08,1.0157
0.0000,0.2743,-0.0308,0.0000e+00,-2.3468e-09,2.3086e-08,1.6721
0.0000,0.2756,-0.0154,0.0000e+00,-1.1680e-08,-2.0051e-08,4.1849
0.0000,0.2760,0.0000,0.0000e+00,-1.3955e-08,-1.8539e-08,4.0671
0.0000,0.2756,0.0154,0.0000e+00,2.1688e-08,8.2527e-09,0.3636
0.0000,0.2743,0.0308,0.0000e+00,2.3122e-08,1.9574e-09,0.0845
0.0000,0.2721,0.0461,0.0000e+00,-2.0982e-08,-9.9110e-09,3.5829
0.0000,0.2587,0.0961,0.0000e+00,-4.1233e-09,2.2836e-08,1.7494
0.0000,0.2529,0.1104,0.0000e+00,-7.1038e-09,-2.2091e-08,4.4013
0.0000,0.2464,0.1244,0.0000e+00,1.8619e-08,1.3848e-08,0.6395
0.0000,0.2390,0.1380,0.0000e+00,2.1992e-09,-2.3100e-08,4.8073
0.0000,0.2309,0.1512,0.0000e+00,-5.4628e-09,-2.2553e-08,4.4747
0.0000,0.2221,0.1638,0.0000e+00,-1.5714e-08,1.7074e-08,2.3147
0.0000,0.2126,0.1760,0.0000e+00,9.9481e-09,2.0964e-08,1.1277
0.0000,0.1760,0.2126,0.0000e+00,-9.0385e-09,-2.1372e-08,4.3123
0.0000,0.1638,0.2221,0.0000e+00,-1.4960e-08,1.7739e-08,2.2714
0.0000,0.1512,0.2309,0.0000e+00,2.3169e-08,1.2823e-09,0.0553
0.0000,0.1380,0.2390,0.0000e+00,-1.7427e-08,-1.5322e-08,3.8628
0.0000,0.1244,0.2464,0.0000e+00,1.7239e-08,1.5533e-08,0.7334
0.0000,0.1104,0.2529,0.0000e+00,-1.8547e-08,1.3946e-08,2.4969
0.0000,0.0961,0.2587,0.0000e+00,2.2240e-08,6.6232e-09,0.2894
0.0000,0.0461,0.2721,0.0000e+00,-1.4451e-09,-2.3160e-08,4.6501
0.0000,0.0308,0.2743,0.0000e+00,-2.0260e-08,-1.1314e-08,3.6509
0.0000,0.0154,0.2756,0.0000e+00,-1.4824e-08,1.7852e-08,2.2638
0.0000,0.0000,0.2760,0.0000e+00,2.1546e-08,8.6165e-09,0.3804
0.0000,-0.0154,0.2756,0.0000e+00,-1.8929e-08,1.3422e-08,2.5248
0.0000,-0.0308,0.2743,0.0000e+00,2.3144e-08,1.6798e-09,0.0725
0.0000,-0.0461,0.2721,0.0000e+00,8.8871e-09,2.1436e-08,1.1778
0.0000,-0.0961,0.2587,0.0000e+00,-2.2341e-08,-6.2733e-09,3.4153
0.0000,-0.1104,0.2529,0.0000e+00,9.8051e-10,-2.3184e-08,4.7547
0.0000,-0.1244,0.2464,0.0000e+00,2.0715e-08,1.0458e-08,0.4675
0.0000,-0.1380,0.2390,0.0000e+00,1.1225e-08,2.0309e-08,1.0659
0.0000,-0.1512,0.2309,0.0000e+00,1.6956e-08,1.5841e-08,0.7514
0.0000,-0.1638,0.2221,0.0000e+00,-6.7604e-09,-2.2198e-08,4.4168
0.0000,-0.1760,0.2126,0.0000e+00,-1.9406e-08,-1.2723e-08,3.7219
0.0000,-0.2126,0.1760,0.0000e+00,-2.2796e-08,-4.3358e-09,3.3295
0.0000,-0.2221,0.1638,0.0000e+00,-1.4897e-08,1.7792e-08,2.2679
0.0000,-0.2309,0.1512,0.0000e+00,2.2930e-08,3.5607e-09,0.1541
0.0000,-0.2390,0.1380,0.0000e+00,1.9483e-08,1.2605e-08,0.5742
0.0000,-0.2464,0.1244,0.0000e+00,1.0292e-08,2.0797e-08,1.1112
0.0000,-0.2529,0.1104,0.0000e+00,7.8893e-09,-2.1822e-08,5.0593
0.0000,-0.2587,0.0961,0.0000e+00,-1.1495e-08,-2.0158e-08,4.1941
0.0000,-0.2721,0.0461,0.0000e+00,-2.2582e-08,5.3410e-09,2.9093
0.0000,-0.2743,0.0308,0.0000e+00,-2.1285e-08,9.2417e-09,2.7320
0.0000,-0.2756,0.0154,0.0000e+00,7.9112e-09,-2.1815e-08,5.0603
0.0000,-0.2760,0.0000,0.0000e+00,2.1905e-08,7.6572e-09,0.3363
0.0000,-0.2756,-0.0154,0.0000e+00,2.2063e-08,7.1887e-09,0.3150
0.0000,-0.2743,-0.0308,0.0000e+00,9.7272e-09,2.1068e-08,1.1382
0.0000,-0.2721,-0.0461,0.0000e+00,-2.0225e-08,-1.1375e-08,3.6539
0.0000,-0.2587,-0.0961,0.0000e+00,-7.9281e-09,-2.1808e-08,4.3637
0.0000,-0.2529,-0.1104,0.0000e+00,-1.5246e-08,-1.7494e-08,3.9955
0.0000,-0.2464,-0.1244,0.0000e+00,1.6580e-08,1.6235e-08,0.7749
0.0000,-0.2390,-0.1380,0.0000e+00,1.3819e-08,1.8641e-08,0.9329
0.0000,-0.2309,-0.1512,0.0000e+00,-2.2707e-08,4.7787e-09,2.9342
0.0000,-0.2221,-0.1638,0.0000e+00,3.9562e-09,-2.2865e-08,4.8837
0.0000,-0.2126,-0.1760,0.0000e+00,2.0078e-08,1.1634e-08,0.5252
0.0000,-0.1760,-0.2126,0.0000e+00,-2.2100e-08,-7.0763e-09,3.4515
