# Shimming of B0M ./\data\240619\Thursday_ball_R120_12pts_bvals_shifted.csv
# time 2024-07-10 19:30:36.765676
# MAGNET CENTER IN LAB: x 0 mm, y 0 mm, z 0 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: see repo
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
-111.6827,-37.2276,-20.6820,-47.5077,0.0000,0.0000,47.5077
-111.6827,-37.2276,-12.4092,-47.5026,0.0000,0.0000,47.5026
-111.6827,-37.2276,-4.1364,-47.4984,0.0000,0.0000,47.4984
-111.6827,-37.2276,4.1364,-47.4957,0.0000,0.0000,47.4957
-111.6827,-37.2276,12.4092,-47.4948,0.0000,0.0000,47.4948
-111.6827,-37.2276,20.6820,-47.4961,0.0000,0.0000,47.4961
-111.6827,-28.9548,-28.9548,-47.5079,0.0000,0.0000,47.5079
-111.6827,-28.9548,-20.6820,-47.5022,0.0000,0.0000,47.5022
-111.6827,-28.9548,-12.4092,-47.4966,0.0000,0.0000,47.4966
-111.6827,-28.9548,-4.1364,-47.4920,0.0000,0.0000,47.4920
-111.6827,-28.9548,4.1364,-47.4892,0.0000,0.0000,47.4892
-111.6827,-28.9548,12.4092,-47.4884,0.0000,0.0000,47.4884
-111.6827,-28.9548,20.6820,-47.4896,0.0000,0.0000,47.4896
-111.6827,-28.9548,28.9548,-47.4925,0.0000,0.0000,47.4925
-111.6827,-20.6820,-37.2276,-47.5057,0.0000,0.0000,47.5057
-111.6827,-20.6820,-28.9548,-47.5016,0.0000,0.0000,47.5016
-111.6827,-20.6820,-20.6820,-47.4959,0.0000,0.0000,47.4959
-111.6827,-20.6820,-12.4092,-47.4900,0.0000,0.0000,47.4900
-111.6827,-20.6820,-4.1364,-47.4851,0.0000,0.0000,47.4851
-111.6827,-20.6820,4.1364,-47.4822,0.0000,0.0000,47.4822
-111.6827,-20.6820,12.4092,-47.4816,0.0000,0.0000,47.4816
-111.6827,-20.6820,20.6820,-47.4829,0.0000,0.0000,47.4829
-111.6827,-20.6820,28.9548,-47.4855,0.0000,0.0000,47.4855
-111.6827,-20.6820,37.2276,-47.4888,0.0000,0.0000,47.4888
-111.6827,-12.4092,-37.2276,-47.4981,0.0000,0.0000,47.4981
-111.6827,-12.4092,-28.9548,-47.4945,0.0000,0.0000,47.4945
-111.6827,-12.4092,-20.6820,-47.4889,0.0000,0.0000,47.4889
-111.6827,-12.4092,-12.4092,-47.4827,0.0000,0.0000,47.4827
-111.6827,-12.4092,-4.1364,-47.4775,0.0000,0.0000,47.4775
-111.6827,-12.4092,4.1364,-47.4744,0.0000,0.0000,47.4744
-111.6827,-12.4092,12.4092,-47.4739,0.0000,0.0000,47.4739
-111.6827,-12.4092,20.6820,-47.4756,0.0000,0.0000,47.4756
-111.6827,-12.4092,28.9548,-47.4785,0.0000,0.0000,47.4785
-111.6827,-12.4092,37.2276,-47.4816,0.0000,0.0000,47.4816
-111.6827,-4.1364,-37.2276,-47.4899,0.0000,0.0000,47.4899
-111.6827,-4.1364,-28.9548,-47.4867,0.0000,0.0000,47.4867
-111.6827,-4.1364,-20.6820,-47.4812,0.0000,0.0000,47.4812
-111.6827,-4.1364,-12.4092,-47.4748,0.0000,0.0000,47.4748
-111.6827,-4.1364,-4.1364,-47.4693,0.0000,0.0000,47.4693
-111.6827,-4.1364,4.1364,-47.4661,0.0000,0.0000,47.4661
-111.6827,-4.1364,12.4092,-47.4658,0.0000,0.0000,47.4658
-111.6827,-4.1364,20.6820,-47.4679,0.0000,0.0000,47.4679
-111.6827,-4.1364,28.9548,-47.4714,0.0000,0.0000,47.4714
-111.6827,-4.1364,37.2276,-47.4750,0.0000,0.0000,47.4750
-111.6827,4.1364,-37.2276,-47.4815,0.0000,0.0000,47.4815
-111.6827,4.1364,-28.9548,-47.4785,0.0000,0.0000,47.4785
-111.6827,4.1364,-20.6820,-47.4730,0.0000,0.0000,47.4730
-111.6827,4.1364,-12.4092,-47.4665,0.0000,0.0000,47.4665
-111.6827,4.1364,-4.1364,-47.4609,0.0000,0.0000,47.4609
-111.6827,4.1364,4.1364,-47.4576,0.0000,0.0000,47.4576
-111.6827,4.1364,12.4092,-47.4576,0.0000,0.0000,47.4576
-111.6827,4.1364,20.6820,-47.4602,0.0000,0.0000,47.4602
-111.6827,4.1364,28.9548,-47.4644,0.0000,0.0000,47.4644
-111.6827,4.1364,37.2276,-47.4687,0.0000,0.0000,47.4687
-111.6827,12.4092,-37.2276,-47.4726,0.0000,0.0000,47.4726
-111.6827,12.4092,-28.9548,-47.4698,0.0000,0.0000,47.4698
-111.6827,12.4092,-20.6820,-47.4645,0.0000,0.0000,47.4645
-111.6827,12.4092,-12.4092,-47.4582,0.0000,0.0000,47.4582
-111.6827,12.4092,-4.1364,-47.4528,0.0000,0.0000,47.4528
-111.6827,12.4092,4.1364,-47.4497,0.0000,0.0000,47.4497
-111.6827,12.4092,12.4092,-47.4498,0.0000,0.0000,47.4498
-111.6827,12.4092,20.6820,-47.4529,0.0000,0.0000,47.4529
-111.6827,12.4092,28.9548,-47.4577,0.0000,0.0000,47.4577
-111.6827,12.4092,37.2276,-47.4625,0.0000,0.0000,47.4625
-111.6827,20.6820,-37.2276,-47.4630,0.0000,0.0000,47.4630
-111.6827,20.6820,-28.9548,-47.4603,0.0000,0.0000,47.4603
-111.6827,20.6820,-20.6820,-47.4555,0.0000,0.0000,47.4555
-111.6827,20.6820,-12.4092,-47.4500,0.0000,0.0000,47.4500
-111.6827,20.6820,-4.1364,-47.4451,0.0000,0.0000,47.4451
-111.6827,20.6820,4.1364,-47.4425,0.0000,0.0000,47.4425
-111.6827,20.6820,12.4092,-47.4428,0.0000,0.0000,47.4428
-111.6827,20.6820,20.6820,-47.4460,0.0000,0.0000,47.4460
-111.6827,20.6820,28.9548,-47.4510,0.0000,0.0000,47.4510
-111.6827,20.6820,37.2276,-47.4561,0.0000,0.0000,47.4561
-111.6827,28.9548,-28.9548,-47.4496,0.0000,0.0000,47.4496
-111.6827,28.9548,-20.6820,-47.4458,0.0000,0.0000,47.4458
-111.6827,28.9548,-12.4092,-47.4415,0.0000,0.0000,47.4415
-111.6827,28.9548,-4.1364,-47.4378,0.0000,0.0000,47.4378
-111.6827,28.9548,4.1364,-47.4357,0.0000,0.0000,47.4357
-111.6827,28.9548,12.4092,-47.4361,0.0000,0.0000,47.4361
-111.6827,28.9548,20.6820,-47.4392,0.0000,0.0000,47.4392
-111.6827,28.9548,28.9548,-47.4440,0.0000,0.0000,47.4440
-111.6827,37.2276,-20.6820,-47.4351,0.0000,0.0000,47.4351
-111.6827,37.2276,-12.4092,-47.4326,0.0000,0.0000,47.4326
-111.6827,37.2276,-4.1364,-47.4301,0.0000,0.0000,47.4301
-111.6827,37.2276,4.1364,-47.4286,0.0000,0.0000,47.4286
-111.6827,37.2276,12.4092,-47.4289,0.0000,0.0000,47.4289
-111.6827,37.2276,20.6820,-47.4314,0.0000,0.0000,47.4314
-103.4099,-53.7732,-20.6820,-47.5231,0.0000,0.0000,47.5231
-103.4099,-53.7732,-12.4092,-47.5211,0.0000,0.0000,47.5211
-103.4099,-53.7732,-4.1364,-47.5196,0.0000,0.0000,47.5196
-103.4099,-53.7732,4.1364,-47.5183,0.0000,0.0000,47.5183
-103.4099,-53.7732,12.4092,-47.5177,0.0000,0.0000,47.5177
-103.4099,-53.7732,20.6820,-47.5184,0.0000,0.0000,47.5184
-103.4099,-45.5004,-37.2276,-47.5271,0.0000,0.0000,47.5271
-103.4099,-45.5004,-28.9548,-47.5229,0.0000,0.0000,47.5229
-103.4099,-45.5004,-20.6820,-47.5192,0.0000,0.0000,47.5192
-103.4099,-45.5004,-12.4092,-47.5160,0.0000,0.0000,47.5160
-103.4099,-45.5004,-4.1364,-47.5135,0.0000,0.0000,47.5135
-103.4099,-45.5004,4.1364,-47.5118,0.0000,0.0000,47.5118
-103.4099,-45.5004,12.4092,-47.5113,0.0000,0.0000,47.5113
-103.4099,-45.5004,20.6820,-47.5123,0.0000,0.0000,47.5123
-103.4099,-45.5004,28.9548,-47.5150,0.0000,0.0000,47.5150
-103.4099,-45.5004,37.2276,-47.5194,0.0000,0.0000,47.5194
-103.4099,-37.2276,-45.5004,-47.5261,0.0000,0.0000,47.5261
-103.4099,-37.2276,-37.2276,-47.5226,0.0000,0.0000,47.5226
-103.4099,-37.2276,-28.9548,-47.5185,0.0000,0.0000,47.5185
-103.4099,-37.2276,-20.6820,-47.5143,0.0000,0.0000,47.5143
-103.4099,-37.2276,-12.4092,-47.5105,0.0000,0.0000,47.5105
-103.4099,-37.2276,-4.1364,-47.5074,0.0000,0.0000,47.5074
-103.4099,-37.2276,4.1364,-47.5055,0.0000,0.0000,47.5055
-103.4099,-37.2276,12.4092,-47.5050,0.0000,0.0000,47.5050
-103.4099,-37.2276,20.6820,-47.5060,0.0000,0.0000,47.5060
-103.4099,-37.2276,28.9548,-47.5086,0.0000,0.0000,47.5086
-103.4099,-37.2276,37.2276,-47.5126,0.0000,0.0000,47.5126
-103.4099,-37.2276,45.5004,-47.5175,0.0000,0.0000,47.5175
-103.4099,-28.9548,-45.5004,-47.5199,0.0000,0.0000,47.5199
-103.4099,-28.9548,-37.2276,-47.5169,0.0000,0.0000,47.5169
-103.4099,-28.9548,-28.9548,-47.5129,0.0000,0.0000,47.5129
-103.4099,-28.9548,-20.6820,-47.5086,0.0000,0.0000,47.5086
-103.4099,-28.9548,-12.4092,-47.5045,0.0000,0.0000,47.5045
-103.4099,-28.9548,-4.1364,-47.5012,0.0000,0.0000,47.5012
-103.4099,-28.9548,4.1364,-47.4992,0.0000,0.0000,47.4992
-103.4099,-28.9548,12.4092,-47.4986,0.0000,0.0000,47.4986
-103.4099,-28.9548,20.6820,-47.4995,0.0000,0.0000,47.4995
-103.4099,-28.9548,28.9548,-47.5018,0.0000,0.0000,47.5018
-103.4099,-28.9548,37.2276,-47.5052,0.0000,0.0000,47.5052
-103.4099,-28.9548,45.5004,-47.5094,0.0000,0.0000,47.5094
-103.4099,-20.6820,-53.7732,-47.5140,0.0000,0.0000,47.5140
-103.4099,-20.6820,-45.5004,-47.5128,0.0000,0.0000,47.5128
-103.4099,-20.6820,-37.2276,-47.5103,0.0000,0.0000,47.5103
-103.4099,-20.6820,-28.9548,-47.5067,0.0000,0.0000,47.5067
-103.4099,-20.6820,-20.6820,-47.5024,0.0000,0.0000,47.5024
-103.4099,-20.6820,-12.4092,-47.4982,0.0000,0.0000,47.4982
-103.4099,-20.6820,-4.1364,-47.4947,0.0000,0.0000,47.4947
-103.4099,-20.6820,4.1364,-47.4925,0.0000,0.0000,47.4925
-103.4099,-20.6820,12.4092,-47.4919,0.0000,0.0000,47.4919
-103.4099,-20.6820,20.6820,-47.4929,0.0000,0.0000,47.4929
-103.4099,-20.6820,28.9548,-47.4950,0.0000,0.0000,47.4950
-103.4099,-20.6820,37.2276,-47.4979,0.0000,0.0000,47.4979
