# Shimming of B0M ./data/240722/ball_3d_printed_shims_iter2_good_MRI_R120_5pts_bvals_shifted.csv
# time 2024-07-26 15:44:31.725433
# MAGNET CENTER IN LAB: x 0 mm, y 0 mm, z 0 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: see repo
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
-111.6827,-37.2276,-20.6820,-47.2966,0.0000,0.0000,47.2966
-111.6827,-37.2276,-12.4092,-47.2942,0.0000,0.0000,47.2942
-111.6827,-37.2276,-4.1364,-47.2921,0.0000,0.0000,47.2921
-111.6827,-37.2276,4.1364,-47.2908,0.0000,0.0000,47.2908
-111.6827,-37.2276,12.4092,-47.2909,0.0000,0.0000,47.2909
-111.6827,-37.2276,20.6820,-47.2924,0.0000,0.0000,47.2924
-111.6827,-28.9548,-28.9548,-47.3006,0.0000,0.0000,47.3006
-111.6827,-28.9548,-20.6820,-47.2980,0.0000,0.0000,47.2980
-111.6827,-28.9548,-12.4092,-47.2949,0.0000,0.0000,47.2949
-111.6827,-28.9548,-4.1364,-47.2923,0.0000,0.0000,47.2923
-111.6827,-28.9548,4.1364,-47.2909,0.0000,0.0000,47.2909
-111.6827,-28.9548,12.4092,-47.2910,0.0000,0.0000,47.2910
-111.6827,-28.9548,20.6820,-47.2925,0.0000,0.0000,47.2925
-111.6827,-28.9548,28.9548,-47.2952,0.0000,0.0000,47.2952
-111.6827,-20.6820,-37.2276,-47.3021,0.0000,0.0000,47.3021
-111.6827,-20.6820,-28.9548,-47.3014,0.0000,0.0000,47.3014
-111.6827,-20.6820,-20.6820,-47.2986,0.0000,0.0000,47.2986
-111.6827,-20.6820,-12.4092,-47.2951,0.0000,0.0000,47.2951
-111.6827,-20.6820,-4.1364,-47.2921,0.0000,0.0000,47.2921
-111.6827,-20.6820,4.1364,-47.2905,0.0000,0.0000,47.2905
-111.6827,-20.6820,12.4092,-47.2908,0.0000,0.0000,47.2908
-111.6827,-20.6820,20.6820,-47.2925,0.0000,0.0000,47.2925
-111.6827,-20.6820,28.9548,-47.2950,0.0000,0.0000,47.2950
-111.6827,-20.6820,37.2276,-47.2977,0.0000,0.0000,47.2977
-111.6827,-12.4092,-37.2276,-47.3018,0.0000,0.0000,47.3018
-111.6827,-12.4092,-28.9548,-47.3014,0.0000,0.0000,47.3014
-111.6827,-12.4092,-20.6820,-47.2986,0.0000,0.0000,47.2986
-111.6827,-12.4092,-12.4092,-47.2947,0.0000,0.0000,47.2947
-111.6827,-12.4092,-4.1364,-47.2912,0.0000,0.0000,47.2912
-111.6827,-12.4092,4.1364,-47.2895,0.0000,0.0000,47.2895
-111.6827,-12.4092,12.4092,-47.2899,0.0000,0.0000,47.2899
-111.6827,-12.4092,20.6820,-47.2920,0.0000,0.0000,47.2920
-111.6827,-12.4092,28.9548,-47.2949,0.0000,0.0000,47.2949
-111.6827,-12.4092,37.2276,-47.2976,0.0000,0.0000,47.2976
-111.6827,-4.1364,-37.2276,-47.3011,0.0000,0.0000,47.3011
-111.6827,-4.1364,-28.9548,-47.3010,0.0000,0.0000,47.3010
-111.6827,-4.1364,-20.6820,-47.2980,0.0000,0.0000,47.2980
-111.6827,-4.1364,-12.4092,-47.2937,0.0000,0.0000,47.2937
-111.6827,-4.1364,-4.1364,-47.2899,0.0000,0.0000,47.2899
-111.6827,-4.1364,4.1364,-47.2881,0.0000,0.0000,47.2881
-111.6827,-4.1364,12.4092,-47.2887,0.0000,0.0000,47.2887
-111.6827,-4.1364,20.6820,-47.2914,0.0000,0.0000,47.2914
-111.6827,-4.1364,28.9548,-47.2949,0.0000,0.0000,47.2949
-111.6827,-4.1364,37.2276,-47.2982,0.0000,0.0000,47.2982
-111.6827,4.1364,-37.2276,-47.3003,0.0000,0.0000,47.3003
-111.6827,4.1364,-28.9548,-47.3001,0.0000,0.0000,47.3001
-111.6827,4.1364,-20.6820,-47.2971,0.0000,0.0000,47.2971
-111.6827,4.1364,-12.4092,-47.2926,0.0000,0.0000,47.2926
-111.6827,4.1364,-4.1364,-47.2887,0.0000,0.0000,47.2887
